Path,Class,Total number of words,Word diversity,FFT mean,FFT median,FFT stddev,FFT min,FFT max,FFT histogram bin 1,FFT histogram bin 2,FFT histogram bin 3,FFT histogram bin 4,FFT histogram bin 5,Word length mean,Words of length 1,Words of length 2,Words of length 3,Words of length 4,Words of length 5,Words of length 6,Words of length 7,Words of length 8,Words of length 9,Words of length 10,Words of length 11,Words of length 12,Words of length 13,Words of length 14,Words of length 15,Words of length 16,Word homogeneity mean,Word homogeneity StdDev,Word homogeneity maximum,Word homoganity hist bin 0,Word homoganity hist bin 1,Word homoganity hist bin 2,Word homoganity hist bin 3,Word homoganity hist bin 4,Word homoganity hist bin 5,Word homoganity hist bin 6,Word homoganity hist bin 7,Punctuation characters ratio,Frequency of Period,Frequency of Comma,Frequency of Dash,Frequency of Single Quote,Frequency of Plus,Frequency of Back Slash,Frequency of Foreward Slash,Frequency of Exclaimation,Frequency of Question Mark,Frequency of Open Parenthesis,Frequency of Equal,Frequency of Star Symbol,Frequency of And Symbol,Frequency of Open Curly Brace,Frequency of Square Bracket,Frequency of Semicolon,Frequency of Colon,Use of upper case,Upper case word mean,Quotations number,Quotation length mean,Quotation length stddev,Quotation part of the text,Emoticon :) / :-),Emoticon ;) / ;-),Emoticon :( / :-(,Sentence length mean,Sentence length stddev,Sentence length character mean,Sentence length hist bin 0,Sentence length hist bin 1,Sentence length hist bin 2,Sentence length hist bin 3,Sentence length hist bin 4,Sentence length hist bin 5,Sentence length hist bin 6,Sentence length hist bin 7,Automated readability index,Coleman�Liau index,Emotion circumplex,Emotion circumplex mean,Emotion circumplex stddev,Emotion circumplex hist bin 0,Emotion circumplex hist bin 1,Emotion circumplex hist bin 2,Emotion circumplex hist bin 3,Emotion circumplex hist bin 4,Emotion circumplex hist bin 5,Emotion circumplex hist bin 6,Emotion circumplex hist bin 7,Word repetition span 3,Word repetition span 7,Word repetition span 11,Word repetition span 17,Use of numbers,Number diversity,Mean of numbers,positive words frequency,positive words mean,positive words stddev,positive words min,positive words max,positive words dif,positive words hist bin 0,positive words hist bin 1,positive words hist bin 2,positive words hist bin 3,positive words hist bin 4,positive words hist bin 5,positive words hist bin 6,positive words hist bin 7,negative words frequency,negative words mean,negative words stddev,negative words min,negative words max,negative words dif,negative words hist bin 0,negative words hist bin 1,negative words hist bin 2,negative words hist bin 3,negative words hist bin 4,negative words hist bin 5,negative words hist bin 6,negative words hist bin 7,hapiness words frequency,hapiness words mean,hapiness words stddev,hapiness words min,hapiness words max,hapiness words dif,hapiness words hist bin 0,hapiness words hist bin 1,hapiness words hist bin 2,hapiness words hist bin 3,hapiness words hist bin 4,hapiness words hist bin 5,hapiness words hist bin 6,hapiness words hist bin 7,happy words frequency,adjectives frequency,adverbs frequency,prepositions frequency,pronouns frequency,verbs frequency,verbs that are nouns frequency,sport frequency,math frequency,science frequency,science fields frequency,US states frequency,shapes frequency,school frequency,lanuages frequency,elections frequency,food frequency,money frequency,driving frequency,military frequency,law frequency,countries frequency,emotions frequency,dance frequency,boats frequency,energy frequency,familiy frequency,musical instruments frequency,music frequency,land forms frequency,art frequency,astronomy frequency,colors frequency,animals frequency,dogs frequency,cats frequency,fish frequency,birds frequency,reptiles frequency,insects frequency,cars frequency,car parts frequency,beach frequency,fall frequency,spring frequency,summer frequency,winter frequency,weather frequency,vacation frequency,medical frequency,body frequency,farm frequency,trees frequency,transportation frequency,time frequency,clothing frequency,shoes frequency,hats frequency,buildings frequency,public buildings frequency,birthday frequency,monsters frequency,office frequency,tools frequency,camping frequency,fair frequency,castles and kings and queens frequency,circus frequency,computer frequency,cooking frequency,kitchen frequency,fruits frequency,geography frequency,furnitures frequency,occupation frequency,leaders frequency,house frequency,restaurants frequency,roads frequency,rocks and minerals frequency,weapons frequency,measurements frequency,containers frequency,acquaintances frequency,yard frequency,flowers frequency,acronyms frequency,self frequency,female frequency,male frequency,Soundex diversity,Soundex homogeneity mean,Soundex homogeneity StdDev,Soundex homogeneity maximum,Soundex homoganity hist bin 0,Soundex homoganity hist bin 1,Soundex homoganity hist bin 2,Soundex homoganity hist bin 3,Soundex homoganity hist bin 4
C:\Dev\fp\legitimate\enron_101577.txt,0,10,1,14.3541,16.1803,15.5805,5,45,0.6,0,0,0,0.4,3.8,0,0.1,0.3,0.4,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,25,0.5,0,0,0,0,0,0,0.5,-1.032,0.624,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.4,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0
C:\Dev\fp\legitimate\enron_101970.txt,0,24,0.791667,23.0734,5.78254,45.3044,0,198,0.791667,0,0,0,0.208333,3.625,0,0.208333,0.291667,0.333333,0.125,0,0,0,0.041667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041667,0.041667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,56,0.5,0,0,0,0,0,0,0.5,1.64375,3.04833,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333,0,0,0,0.041667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333,0.208333,0,0.166667,0.25,0.166667,0.083333,0,0,0,0,0,0,0,0,0.041667,0,0,0,0,0.083333,0.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333,0.083333,0,0,0,0,0,0,0,0.083333,0,0,0,0.083333,0,0,0,0.041667,0.041667,0,0,0.75,0,0,0,0,0,0,0,0
C:\Dev\fp\legitimate\enron_102370.txt,0,4,1,2.70711,2.82843,2.49575,0,6,0.25,0.25,0.25,0,0.25,3.25,0,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,0,0,0,0,0,0,1,-4.1225,-4.09,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0
C:\Dev\fp\legitimate\enron_103081.txt,0,96,0.75,72.0414,71.9249,62.0189,0,227.609,0.84375,0,0,0,0.15625,3.94792,0.083333,0.322917,0.083333,0.208333,0.104167,0.020833,0.083333,0.041667,0.010417,0.020833,0,0,0.020833,0,0,0,0.148148,0.052378,0.222222,0,0,0,0,0,0,0,0,0.979167,0.09375,0.020833,0.625,0.010417,0,0,0.0625,0.020833,0.010417,0,0,0,0,0,0,0,0.135417,0.070175,2.4,2,9,0,0.015789,0,0,0,5.05556,3.79286,31.6667,0.388889,0.055556,0.222222,0.055556,0.055556,0.111111,0,0.111111,-0.307535,1.5588,-1,0,0,0,0,0,0,0,0,0,0,0.010417,0.010417,0.041667,0.072917,0.15625,0.152778,414.533,0.010417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0.03125,0.010417,0.114583,0.0625,0,0,0.020833,0.010417,0,0,0,0,0,0,0,0,0,0.010417,0.010417,0.010417,0,0.010417,0,0,0,0.010417,0.020833,0,0,0,0,0,0,0.010417,0,0,0,0,0,0,0.020833,0.010417,0,0.03125,0,0,0.010417,0.020833,0,0,0,0,0.020833,0.052083,0.010417,0,0.010417,0.010417,0.010417,0,0,0.020833,0,0,0,0,0.010417,0.020833,0.010417,0,0,0,0.010417,0,0.010417,0.020833,0.052083,0.010417,0,0,0,0,0.020833,0,0,0.041667,0.041667,0,0,0.65625,0.185185,0.082817,0.333333,0,0,0,0,0
C:\Dev\fp\legitimate\enron_103503.txt,0,128,0.554688,71.8095,80.6474,68.972,0,244.118,0.84375,0,0,0,0.15625,4.04688,0.125,0.210938,0.085938,0.203125,0.117188,0.03125,0.164063,0.054688,0.007813,0,0,0,0,0,0,0,0.099206,0.048924,0.25,0.904762,0,0,0,0,0,0,0.095238,0.640625,0.039063,0.140625,0.242188,0.015625,0,0,0,0,0.007813,0,0,0,0,0,0,0.046875,0.148438,0.102941,2,0,0,0,0,0,0,0,5.59091,3.91569,34,0.272727,0.227273,0.090909,0.181818,0.136364,0,0.045455,0.045455,0.426236,2.70132,-1,0,0,0,0,0,0,0,0,0,0,0.023438,0.054688,0.0625,0.046875,0.132813,0.140845,938.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0.078125,0.023438,0.023438,0.023438,0.023438,0.023438,0,0,0,0,0.015625,0,0,0,0,0,0.007813,0.007813,0.007813,0.007813,0,0.023438,0,0.007813,0.007813,0.007813,0,0,0,0,0.007813,0,0,0.007813,0,0,0,0,0,0,0,0.023438,0.023438,0,0.015625,0,0,0,0,0,0.023438,0.023438,0.015625,0,0,0,0,0.007813,0,0.007813,0,0,0,0,0.007813,0.015625,0.023438,0,0,0,0.015625,0,0.007813,0.03125,0.078125,0,0,0,0,0.007813,0,0,0,0.007813,0.015625,0,0,0.476563,0.109848,0.063496,0.333333,0.818182,0.090909,0,0.045455,0.045455
C:\Dev\fp\legitimate\enron_103697.txt,0,301,0.568106,158.101,0,193.441,0,581.164,0.993355,0.003322,0,0,0.003322,4.54153,0.066445,0.212625,0.182724,0.122924,0.086379,0.079734,0.093023,0.07309,0.0299,0.026578,0.006645,0.013289,0.003322,0,0,0.003322,0.064368,0.024652,0.133333,0.275862,0,0.551724,0,0,0.137931,0,0.034483,0.790698,0.083056,0.039867,0.089701,0,0,0,0.009967,0,0.003322,0.033223,0,0.465116,0,0,0.006645,0,0.059801,0.051492,2.77778,4,14,0,0.013474,0,0,0,4.93443,3.84481,34.0656,0.163934,0.360656,0.131148,0.098361,0.114754,0.04918,0.032787,0.04918,2.42781,4.90552,-1,0,0,0,0,0,0,0,0,0,0,0.019934,0.056478,0.099668,0.13289,0.063123,0.087719,4498.26,0.003322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016611,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003322,0.063123,0.013289,0.086379,0.089701,0.063123,0.053156,0.013289,0,0,0,0.016611,0,0,0,0.003322,0.003322,0,0.013289,0.013289,0.023256,0.043189,0.003322,0,0.003322,0,0,0.003322,0.006645,0.003322,0.003322,0.006645,0,0.003322,0,0,0.003322,0.006645,0,0,0,0,0.003322,0.006645,0.003322,0.003322,0.003322,0.006645,0.003322,0.003322,0.013289,0,0.003322,0,0.023256,0.003322,0.003322,0,0.003322,0,0.016611,0,0.013289,0.003322,0.003322,0.006645,0.003322,0,0.009967,0.006645,0.006645,0.003322,0.006645,0.003322,0.026578,0.003322,0.003322,0.036545,0.003322,0,0.003322,0.003322,0,0.006645,0,0,0.013289,0.023256,0,0.003322,0.445183,0.072727,0.02896,0.166667,0.181818,0.545455,0.212121,0.030303,0.030303
C:\Dev\fp\legitimate\enron_106383.txt,0,3,1,2.36603,1.73205,0.896575,1.73205,3,0.666667,0,0,0,0.333333,5.33333,0,0,0,0.333333,0.333333,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666667,0,0,0.26087,5,0,0,0,0,0,0,0,1.5,0.5,11.5,0.5,0,0,0,0,0,0,0.5,4.44,-4.17333,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C:\Dev\fp\legitimate\enron_107022.txt,0,189,0.661376,108.691,0,126.12,0,366.873,0.804233,0,0,0,0.195767,5.22751,0.010582,0.185185,0.148148,0.15873,0.100529,0.10582,0.042328,0.100529,0.058201,0.031746,0.015873,0.037037,0.005291,0,0,0,0.119048,0.028615,0.166667,0.071429,0,0,0,0.714286,0,0,0.214286,0.227513,0.089947,0.037037,0.010582,0.005291,0,0,0.021164,0,0.005291,0.031746,0,0.005291,0,0,0,0,0.021164,0.06905,3.6,0,0,0,0,0,0,0,9.35,8.04534,61.55,0.4,0.15,0.15,0.05,0.1,0,0.1,0.05,7.86659,11.772,-1,0,0,0,0,0,0,0,0,0,0,0.015873,0.079365,0.100529,0.174603,0.026455,0.04,0,0.005291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031746,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026455,0.042328,0.015873,0.132275,0.063492,0.026455,0.026455,0.015873,0.015873,0.021164,0,0,0.010582,0,0,0.005291,0,0.005291,0.021164,0.021164,0.005291,0.058201,0,0.010582,0.026455,0.021164,0.015873,0,0,0,0.010582,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005291,0,0.021164,0.026455,0.005291,0.005291,0,0,0.005291,0.005291,0.021164,0.015873,0.005291,0,0.026455,0.015873,0.005291,0,0.058201,0,0,0,0,0.010582,0.084656,0.005291,0.005291,0.010582,0.015873,0.005291,0.005291,0.010582,0.005291,0.021164,0.005291,0,0,0.005291,0.005291,0.015873,0,0,0,0,0,0,0.592593,0.114379,0.035499,0.166667,0.176471,0,0.588235,0,0.235294
C:\Dev\fp\legitimate\enron_107540.txt,0,9,1,8.24043,4.56942,12.0876,0,36,0.888889,0,0,0,0.111111,4.55556,0.111111,0.111111,0.444444,0.111111,0,0,0,0.111111,0,0,0,0,0,0.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222,0.111111,0.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058824,0,0,0,0,0,0,0,0,9,0,51,0,0,0,0,0,0,0,1,4.52667,7.69778,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111,0.111111,0.222222,0.111111,0.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111,0,0,0,0,0,0.111111,0,0,0,0,0,0,0,0,0,0,0.111111,0,0,0,0,0,0,0,0,0,0,0,0,0.111111,0.222222,0,0,1,0,0,0,0,0,0,0,0
C:\Dev\fp\legitimate\enron_107962.txt,0,15,0.933333,28.9435,2.48766,58.5424,0,202.237,0.933333,0,0,0,0.066667,3.53333,0.066667,0.2,0.333333,0.2,0.066667,0.066667,0,0.066667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333,0.133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571,0,0,0,0,0,0,0,0,7.5,0.5,35,0.5,0,0,0,0,0,0,0.5,-1.038,1.02933,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066667,0.071429,1,0.066667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066667,0.066667,0.133333,0.333333,0.066667,0.066667,0.066667,0.066667,0,0,0,0,0,0,0,0,0,0,0,0.066667,0.066667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066667,0,0,0,0,0,0,0,0.066667,0,0,0,0,0,0,0.066667,0.066667,0,0,0,0,0,0,0.066667,0,0,0,0,0.066667,0,0,0,0,0.2,0,0,0.866667,0,0,0,0,0,0,0,0
