Path,Class,Total number of words,Word diversity,FFT mean,FFT median,FFT stddev,FFT min,FFT max,FFT histogram bin 1,FFT histogram bin 2,FFT histogram bin 3,FFT histogram bin 4,FFT histogram bin 5,Word length mean,Words of length 1,Words of length 2,Words of length 3,Words of length 4,Words of length 5,Words of length 6,Words of length 7,Words of length 8,Words of length 9,Words of length 10,Words of length 11,Words of length 12,Words of length 13,Words of length 14,Words of length 15,Words of length 16,Word homogeneity mean,Word homogeneity StdDev,Word homogeneity maximum,Word homoganity hist bin 0,Word homoganity hist bin 1,Word homoganity hist bin 2,Word homoganity hist bin 3,Word homoganity hist bin 4,Word homoganity hist bin 5,Word homoganity hist bin 6,Word homoganity hist bin 7,Punctuation characters ratio,Frequency of Period,Frequency of Comma,Frequency of Dash,Frequency of Single Quote,Frequency of Plus,Frequency of Back Slash,Frequency of Foreward Slash,Frequency of Exclaimation,Frequency of Question Mark,Frequency of Open Parenthesis,Frequency of Equal,Frequency of Star Symbol,Frequency of And Symbol,Frequency of Open Curly Brace,Frequency of Square Bracket,Frequency of Semicolon,Frequency of Colon,Use of upper case,Upper case word mean,Quotations number,Quotation length mean,Quotation length stddev,Quotation part of the text,Emoticon :) / :-),Emoticon ;) / ;-),Emoticon :( / :-(,Sentence length mean,Sentence length stddev,Sentence length character mean,Sentence length hist bin 0,Sentence length hist bin 1,Sentence length hist bin 2,Sentence length hist bin 3,Sentence length hist bin 4,Sentence length hist bin 5,Sentence length hist bin 6,Sentence length hist bin 7,Automated readability index,Coleman�Liau index,Emotion circumplex,Emotion circumplex mean,Emotion circumplex stddev,Emotion circumplex hist bin 0,Emotion circumplex hist bin 1,Emotion circumplex hist bin 2,Emotion circumplex hist bin 3,Emotion circumplex hist bin 4,Emotion circumplex hist bin 5,Emotion circumplex hist bin 6,Emotion circumplex hist bin 7,Word repetition span 3,Word repetition span 7,Word repetition span 11,Word repetition span 17,Use of numbers,Number diversity,Mean of numbers,positive words frequency,positive words mean,positive words stddev,positive words min,positive words max,positive words dif,positive words hist bin 0,positive words hist bin 1,positive words hist bin 2,positive words hist bin 3,positive words hist bin 4,positive words hist bin 5,positive words hist bin 6,positive words hist bin 7,negative words frequency,negative words mean,negative words stddev,negative words min,negative words max,negative words dif,negative words hist bin 0,negative words hist bin 1,negative words hist bin 2,negative words hist bin 3,negative words hist bin 4,negative words hist bin 5,negative words hist bin 6,negative words hist bin 7,hapiness words frequency,hapiness words mean,hapiness words stddev,hapiness words min,hapiness words max,hapiness words dif,hapiness words hist bin 0,hapiness words hist bin 1,hapiness words hist bin 2,hapiness words hist bin 3,hapiness words hist bin 4,hapiness words hist bin 5,hapiness words hist bin 6,hapiness words hist bin 7,happy words frequency,adjectives frequency,adverbs frequency,prepositions frequency,pronouns frequency,verbs frequency,verbs that are nouns frequency,sport frequency,math frequency,science frequency,science fields frequency,US states frequency,shapes frequency,school frequency,lanuages frequency,elections frequency,food frequency,money frequency,driving frequency,military frequency,law frequency,countries frequency,emotions frequency,dance frequency,boats frequency,energy frequency,familiy frequency,musical instruments frequency,music frequency,land forms frequency,art frequency,astronomy frequency,colors frequency,animals frequency,dogs frequency,cats frequency,fish frequency,birds frequency,reptiles frequency,insects frequency,cars frequency,car parts frequency,beach frequency,fall frequency,spring frequency,summer frequency,winter frequency,weather frequency,vacation frequency,medical frequency,body frequency,farm frequency,trees frequency,transportation frequency,time frequency,clothing frequency,shoes frequency,hats frequency,buildings frequency,public buildings frequency,birthday frequency,monsters frequency,office frequency,tools frequency,camping frequency,fair frequency,castles and kings and queens frequency,circus frequency,computer frequency,cooking frequency,kitchen frequency,fruits frequency,geography frequency,furnitures frequency,occupation frequency,leaders frequency,house frequency,restaurants frequency,roads frequency,rocks and minerals frequency,weapons frequency,measurements frequency,containers frequency,acquaintances frequency,yard frequency,flowers frequency,acronyms frequency,self frequency,female frequency,male frequency,Soundex diversity,Soundex homogeneity mean,Soundex homogeneity StdDev,Soundex homogeneity maximum,Soundex homoganity hist bin 0,Soundex homoganity hist bin 1,Soundex homoganity hist bin 2,Soundex homoganity hist bin 3,Soundex homoganity hist bin 4
C:\Dev\fp\legitimate\enron_107232.txt,0,41,0.878049,23.8435,0,41.991,0,237.284,0.95122,0.02439,0,0,0.02439,3.46341,0.097561,0.292683,0.121951,0.317073,0.097561,0,0.02439,0,0.02439,0,0.02439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073171,0.073171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031414,0,0,0,0,0,0,0,0,6.66667,3.24893,31.8333,0.166667,0.166667,0,0.166667,0.166667,0.166667,0,0.166667,-1.78398,0.124878,-1,0,0,0,0,0,0,0,0,0,0,0,0.02439,0.02439,0.04878,0.097561,0.083333,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02439,0.073171,0.073171,0.097561,0.121951,0.04878,0.04878,0.02439,0,0,0,0,0,0.02439,0,0,0,0,0.02439,0,0,0,0,0,0,0,0,0.02439,0,0,0,0,0,0.02439,0,0,0.02439,0,0,0,0,0,0,0,0,0,0,0,0.02439,0,0,0,0,0,0.073171,0,0,0,0,0,0,0,0.02439,0.02439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073171,0,0,0.02439,0,0,0,0,0,0.02439,0.073171,0,0,0.829268,0,0,0,0,0,0,0,0
C:\Dev\fp\legitimate\enron_119104.txt,0,457,0.49453,178.357,0,282.142,0,908.069,0.997812,0,0,0,0.002188,4.45514,0.07221,0.218818,0.161926,0.131291,0.124726,0.076586,0.04814,0.067834,0.059081,0.010941,0.021882,0.002188,0.002188,0,0,0.002188,0.055967,0.024094,0.133333,0.148148,0.407407,0,0.296296,0.092593,0,0.037037,0.018519,0.402626,0.045952,0.054705,0.159737,0.006565,0,0,0.035011,0,0.004376,0.039387,0,0,0.004376,0,0,0.002188,0.050328,0.075807,3.46875,2,9,0,0.003264,0,0,0,9.26531,9.65481,56.2653,0.489796,0.346939,0.081633,0.040816,0,0,0.020408,0.020408,4.18637,7.20152,7.8,0,0,0,0,0,0,0,0,0,0,0.013129,0.037199,0.089716,0.238512,0.109409,0.128319,147.26,0.013129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032823,0.04814,0.026258,0.137856,0.076586,0.04814,0.032823,0.021882,0.02407,0.002188,0,0,0,0,0,0.015317,0.004376,0.010941,0.008753,0.015317,0.006565,0.032823,0.004376,0.006565,0.004376,0.010941,0.002188,0.004376,0.010941,0.004376,0.004376,0.008753,0,0,0,0,0,0.006565,0,0,0.004376,0.030635,0.004376,0,0.002188,0,0.006565,0.010941,0.002188,0.006565,0.002188,0,0,0.002188,0.026258,0,0.002188,0,0.019694,0.013129,0.002188,0,0.032823,0.004376,0,0,0,0.008753,0.015317,0.010941,0.010941,0,0.002188,0.006565,0.004376,0.006565,0.032823,0.043764,0,0,0,0.004376,0,0.004376,0.006565,0,0.02407,0.021882,0,0.002188,0.393873,0.060202,0.031901,0.2,0.527273,0.381818,0.054545,0.018182,0.018182
C:\Dev\fp\legitimate\enron_119801.txt,0,194,0.64433,146.453,104.44,137.179,0,385.26,0.989691,0.005155,0,0,0.005155,4.61856,0.07732,0.180412,0.139175,0.190722,0.108247,0.06701,0.087629,0.051546,0.020619,0.025773,0.030928,0.020619,0,0,0,0,0.113573,0.039175,0.157895,0.210526,0,0,0,0.421053,0,0,0.368421,0.335052,0.051546,0.046392,0.041237,0.005155,0,0,0.113402,0,0,0.020619,0,0,0,0,0,0,0.056701,0.126821,3.25926,2,17,0,0.014567,0,0,0,5.87879,3.75587,35.3636,0.30303,0.121212,0.151515,0.030303,0.212121,0.090909,0.060606,0.030303,3.2628,6.32206,-1,0,0,0,0,0,0,0,0,0,0,0.010309,0.07732,0.159794,0.252577,0.07732,0.096,146.067,0.005155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030928,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025773,0.030928,0.020619,0.118557,0.07732,0.056701,0.030928,0.010309,0,0.005155,0,0.005155,0.005155,0.015464,0,0.005155,0,0,0,0.005155,0.010309,0.030928,0.005155,0,0,0.005155,0,0,0,0,0,0.010309,0,0,0,0,0,0,0,0,0,0,0,0,0.015464,0,0,0,0.005155,0.005155,0,0,0.005155,0,0.041237,0.005155,0.005155,0.005155,0.005155,0.005155,0.015464,0,0.025773,0,0,0.010309,0.005155,0,0.010309,0.005155,0.005155,0.005155,0,0.010309,0.005155,0.010309,0,0.041237,0,0,0,0,0.005155,0,0,0,0.041237,0.046392,0,0,0.572165,0.116228,0.037151,0.157895,0.166667,0,0.458333,0,0.375
C:\Dev\fp\legitimate\enron_131764.txt,0,338,0.576923,315.656,249.834,136.004,0,660.932,0.994083,0.002959,0,0,0.002959,5.18343,0.056213,0.162722,0.233728,0.14497,0.059172,0.065089,0.038462,0.071006,0.029586,0.026627,0.032544,0.017751,0.026627,0.008876,0.002959,0.023669,0.087413,0.058426,0.272727,0.115385,0.538462,0.115385,0.076923,0.076923,0,0,0.076923,0.39645,0.201183,0.115385,0.038462,0.008876,0,0,0.017751,0,0,0,0,0,0,0,0,0,0.014793,0.05397,3.63158,0,0,0,0,0,0,0,3.4375,3.84278,23.3542,0.6875,0.09375,0.0625,0.020833,0.020833,0.0625,0.03125,0.020833,4.70271,6.06767,-1,0,0,0,0,0,0,0,0,0,0,0.065089,0.136095,0.272189,0.45858,0.032544,0.035897,369.545,0.014793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002959,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047337,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032544,0.044379,0.011834,0.088757,0.06213,0.035503,0.008876,0.017751,0.002959,0.011834,0,0.002959,0,0,0,0,0,0,0.005917,0.008876,0.011834,0.035503,0.002959,0,0.011834,0.011834,0.005917,0.002959,0.002959,0.002959,0.011834,0.002959,0,0.008876,0,0.002959,0.005917,0,0,0,0,0,0.002959,0,0.005917,0,0.002959,0.008876,0,0.008876,0,0,0,0,0.02071,0.005917,0,0,0.002959,0,0.002959,0,0.014793,0.002959,0,0.002959,0.002959,0.005917,0.008876,0.005917,0.002959,0,0.002959,0,0.002959,0.002959,0.005917,0.035503,0.002959,0,0,0.002959,0,0.011834,0.002959,0.002959,0.014793,0.032544,0,0,0.485207,0.089899,0.06522,0.272727,0.666667,0.166667,0.033333,0.033333,0.1
C:\Dev\fp\legitimate\enron_139490.txt,0,726,0.414601,282.796,0,466.495,0,1446.73,0.997245,0.001377,0,0,0.001377,4.40909,0.071625,0.283747,0.14876,0.121212,0.081267,0.060606,0.057851,0.060606,0.030303,0.034435,0.039945,0.004132,0.004132,0.001377,0,0,0.029374,0.020135,0.125,0.402299,0.344828,0.137931,0.045977,0.045977,0,0.011494,0.011494,0.358127,0.038567,0.053719,0.009642,0.020661,0.001377,0,0.059229,0,0.011019,0.013774,0.121212,0,0.001377,0,0,0,0.027548,0.077872,2.97959,8,154.75,173.35,0.149698,0,0,0,6.92079,4.54174,40.9406,0.267327,0.138614,0.118812,0.079208,0.118812,0.138614,0.089109,0.049505,2.79721,5.84849,-1,0,0,0,0,0,0,0,0,0,0,0.017906,0.060606,0.119835,0.219008,0.115702,0.059801,98.8095,0.011019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038567,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03168,0.063361,0.03168,0.11157,0.049587,0.052342,0.03719,0.034435,0.008264,0.002755,0,0.015152,0.004132,0.002755,0,0.004132,0,0.006887,0.019284,0.015152,0.012397,0.038567,0.001377,0.002755,0.015152,0.019284,0.009642,0.015152,0.020661,0.019284,0.017906,0.027548,0.001377,0.024793,0.008264,0,0.001377,0.004132,0,0.002755,0.006887,0.013774,0.019284,0.001377,0,0,0.015152,0.012397,0.004132,0.015152,0.002755,0.002755,0.001377,0.001377,0.030303,0.006887,0.002755,0,0.022039,0.011019,0.002755,0,0.027548,0.015152,0.002755,0,0.002755,0.001377,0.011019,0.026171,0.017906,0,0.006887,0.001377,0.004132,0.00551,0.002755,0.045455,0.004132,0,0.001377,0.017906,0.001377,0.00551,0.002755,0.013774,0.03168,0.016529,0,0.002755,0.322314,0.030247,0.022641,0.166667,0.911111,0.066667,0,0,0.022222
C:\Dev\fp\legitimate\enron_141594.txt,0,938,0.458422,277.352,0,563.955,0,1864.1,0.997868,0.001066,0,0,0.001066,5.03625,0.039446,0.15565,0.171642,0.144989,0.121535,0.091684,0.08209,0.04371,0.049041,0.059701,0.026652,0.006397,0.004264,0.003198,0,0,0.026661,0.014139,0.086022,0.136986,0.520548,0.232877,0.041096,0.027397,0,0.027397,0.013699,0.153518,0.052239,0.045842,0.030917,0.011727,0,0,0.002132,0,0,0.004264,0,0,0.004264,0,0,0.001066,0.001066,0.032876,4.55556,18,71.3333,44.8045,0.108795,0,0,0,7.34921,3.80751,46.8333,0.103175,0.150794,0.253968,0.111111,0.103175,0.15873,0.103175,0.015873,5.96533,9.78549,-1,0,0,0,0,0,0,0,0,0,0,0.009595,0.051173,0.084222,0.152452,0.027719,0.046512,447.692,0.013859,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051173,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039446,0.074627,0.045842,0.153518,0.060768,0.045842,0.049041,0.028785,0.026652,0.01919,0.001066,0.017058,0,0.002132,0,0.007463,0.006397,0.023454,0.028785,0.018124,0.036247,0.065032,0.002132,0.001066,0.008529,0.037313,0.002132,0.012793,0.012793,0.011727,0.010661,0.01919,0.001066,0.023454,0,0,0.00533,0.002132,0,0.001066,0.006397,0.020256,0.018124,0,0,0.004264,0.009595,0.023454,0.011727,0.014925,0.001066,0.002132,0,0.018124,0.039446,0.012793,0.008529,0,0.04371,0.015991,0.004264,0,0.065032,0.015991,0.011727,0.010661,0.003198,0.009595,0.006397,0.014925,0.012793,0,0.006397,0,0.006397,0.012793,0.003198,0.063966,0.013859,0,0.001066,0.017058,0.002132,0.003198,0.001066,0.014925,0.017058,0.001066,0,0.002132,0.335821,0.028257,0.015122,0.11828,0.837209,0.104651,0.034884,0.011628,0.011628
C:\Dev\fp\legitimate\enron_144979.txt,0,284,0.602113,335.288,0,139.374,20.0721,566.364,0.992958,0.003521,0,0,0.003521,4.63028,0.056338,0.228873,0.15493,0.130282,0.105634,0.06338,0.102113,0.038732,0.056338,0.038732,0.010563,0.007042,0,0.003521,0.003521,0,0.071429,0.033065,0.178571,0.285714,0,0.52381,0,0.142857,0,0,0.047619,0.271127,0.073944,0.017606,0.066901,0.021127,0,0,0.024648,0,0.003521,0.021127,0,0,0.024648,0,0,0,0.017606,0.065993,2.35294,2,18,0,0.010702,0,0,0,6.04348,4.35369,36.5652,0.304348,0.195652,0.043478,0.108696,0.086957,0.043478,0.065217,0.152174,3.40037,6.52822,-1,0,0,0,0,0,0,0,0,0,0,0.024648,0.073944,0.123239,0.200704,0.066901,0.099415,0,0.017606,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003521,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042254,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035211,0.066901,0.028169,0.130282,0.056338,0.045775,0.021127,0.014085,0.014085,0.003521,0,0.007042,0.010563,0,0,0.014085,0.007042,0.024648,0.010563,0.010563,0.017606,0.070423,0.003521,0,0.010563,0.014085,0.003521,0.010563,0.010563,0.010563,0.014085,0.017606,0,0.007042,0,0.010563,0,0,0,0,0,0.007042,0.014085,0,0.003521,0,0.010563,0.007042,0,0.014085,0,0,0,0,0.021127,0.003521,0.003521,0,0.014085,0.017606,0.007042,0,0.024648,0.010563,0,0,0,0,0.003521,0.021127,0.021127,0,0.003521,0,0.017606,0.017606,0.003521,0.066901,0,0,0,0.010563,0.010563,0.007042,0.003521,0,0.007042,0.010563,0,0.003521,0.492958,0.081633,0.041449,0.25,0.714286,0.214286,0.035714,0,0.035714
C:\Dev\fp\legitimate\enron_149082.txt,0,999,0.439439,286.458,0,579.28,0,1983.89,0.965966,0,0,0,0.034034,4.88088,0.059059,0.181181,0.174174,0.139139,0.092092,0.078078,0.083083,0.054054,0.055055,0.04004,0.02002,0.004004,0.01001,0.008008,0.001001,0.001001,0.027639,0.016393,0.090909,0.175824,0.593407,0,0.164835,0.021978,0.021978,0,0.021978,0.257257,0.036036,0.043043,0.083083,0.017017,0,0,0.043043,0,0,0.012012,0,0,0,0,0,0.001001,0.022022,0.053846,2.77778,10,151.2,155.431,0.121154,0,0,0,7.67442,4.3154,48.3721,0.170543,0.124031,0.155039,0.031008,0.116279,0.139535,0.178295,0.085271,5.39616,9.04261,-1,0,0,0,0,0,0,0,0,0,0,0.011011,0.04004,0.081081,0.136136,0.046046,0.066059,2970.26,0.02002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039039,0.072072,0.025025,0.134134,0.061061,0.064064,0.039039,0.02002,0.013013,0.014014,0,0.005005,0.001001,0.001001,0,0.009009,0,0.01001,0.012012,0.009009,0.01001,0.029029,0.005005,0.001001,0.018018,0.056056,0.002002,0.019019,0.018018,0.017017,0.017017,0.023023,0,0.006006,0.002002,0,0.003003,0.001001,0,0.001001,0.006006,0.023023,0.016016,0,0,0.001001,0.017017,0.015015,0,0.022022,0.002002,0.001001,0.001001,0.007007,0.029029,0.004004,0.001001,0,0.032032,0.014014,0.003003,0.001001,0.038038,0.017017,0.002002,0.001001,0.001001,0,0.009009,0.018018,0.016016,0.002002,0.008008,0.002002,0.008008,0.008008,0.004004,0.054054,0.003003,0.003003,0.001001,0.016016,0.001001,0.001001,0.008008,0.002002,0.019019,0.027027,0,0.005005,0.314314,0.027456,0.016799,0.090909,0.609091,0.281818,0.027273,0.054545,0.027273
C:\Dev\fp\legitimate\enron_15148.txt,0,383,0.574413,149.407,0,248.811,0,756.649,0.994778,0.002611,0,0,0.002611,4.43081,0.049608,0.174935,0.177546,0.198433,0.096606,0.109661,0.088773,0.049608,0.031332,0.010444,0.002611,0.005222,0.005222,0,0,0,0.053406,0.024292,0.131579,0.264706,0,0.558824,0,0.088235,0,0.058824,0.029412,0.214099,0.060052,0.023499,0.033943,0.010444,0,0,0.010444,0.013055,0.002611,0,0,0,0,0,0.005222,0.031332,0.023499,0.050855,3,0,0,0,0,0,0,0,6.64912,4.05874,38.9825,0.052632,0.263158,0.157895,0.105263,0.157895,0.087719,0.122807,0.052632,2.76367,5.80144,352.2,0,0,0,0,0,0,0,0,0,0,0.041775,0.099217,0.13577,0.156658,0.031332,0.040909,344.417,0.013055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044386,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015666,0.065274,0.039164,0.112272,0.112272,0.057441,0.044386,0.018277,0.002611,0,0,0,0.002611,0,0,0.002611,0.031332,0.002611,0.013055,0.010444,0.013055,0.041775,0.002611,0.002611,0.005222,0,0.010444,0.005222,0.007833,0.005222,0.005222,0.002611,0,0.005222,0,0,0.002611,0.002611,0,0.002611,0,0,0.010444,0,0.002611,0.013055,0.002611,0.005222,0.023499,0.005222,0,0.007833,0.002611,0.007833,0.044386,0.02611,0.005222,0,0.015666,0.018277,0.015666,0,0.002611,0.002611,0.002611,0.013055,0,0.005222,0.010444,0.005222,0.007833,0,0.002611,0.002611,0.007833,0.005222,0.013055,0.078329,0.002611,0,0,0.002611,0,0.013055,0,0.002611,0.023499,0.046997,0.002611,0.005222,0.483029,0.059379,0.034087,0.210526,0.74359,0.153846,0.076923,0,0.025641
C:\Dev\fp\legitimate\enron_154738.txt,0,578,0.610727,351.198,947.922,419.202,0,1142.74,0.856401,0,0,0,0.143599,4.6609,0.15917,0.115917,0.122837,0.126298,0.115917,0.098616,0.084775,0.076125,0.041522,0.025952,0.017301,0.00519,0.008651,0.00173,0,0,0.053163,0.066977,0.421053,0.878788,0.090909,0,0,0,0,0,0.030303,0.254325,0.051903,0.025952,0.00519,0.022491,0,0,0.00346,0,0,0,0.086505,0.039792,0.00173,0,0.017301,0,0,0.140082,5.11538,2,24,0,0.006566,0,0,0,7.75676,4.24522,49.3919,0.135135,0.148649,0.108108,0.054054,0.175676,0.094595,0.202703,0.081081,4.40122,7.79006,-1,0,0,0,0,0,0,0,0,0,0,0.060554,0.183391,0.285467,0.453287,0.012111,0.014164,576.857,0.00346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017301,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013841,0.065744,0.020761,0.100346,0.036332,0.029412,0.029412,0.043253,0.013841,0.00519,0,0.015571,0.00519,0.00692,0,0.015571,0,0.012111,0.00692,0.025952,0.020761,0.044983,0,0.00173,0.027682,0.00346,0.00692,0.027682,0.029412,0.029412,0.034602,0.044983,0,0.00519,0,0.00173,0,0.00519,0,0,0.00519,0.00173,0.027682,0.00173,0.008651,0.00519,0.027682,0.015571,0.012111,0.039792,0.012111,0.00173,0,0.008651,0.024221,0.00346,0,0,0.043253,0.017301,0.00346,0,0.020761,0.027682,0.008651,0.00173,0,0.00346,0.017301,0.029412,0.029412,0,0.020761,0,0.022491,0.012111,0.013841,0.031142,0,0,0,0.027682,0,0.00519,0.010381,0,0.020761,0.00519,0,0.00692,0.49308,0.051834,0.060768,0.421053,0.909091,0.068182,0,0,0.022727
