neighbors,legit nonoutliers detected,legit nonoutliers mislabeled,phishing outliers detected,phishing outliers missed,nonoutlier detection ratio,outlier detection ratio
1,1526,465,11,39,0.766449020592667,0.22
2,1694,297,7,43,0.850828729281768,0.14
3,1748,243,9,41,0.8779507785032646,0.18
4,1763,228,5,45,0.8854846810647916,0.1
5,1772,219,5,45,0.8900050226017077,0.1
6,1774,217,3,47,0.8910095429432446,0.06
7,1774,217,3,47,0.8910095429432446,0.06
8,1765,226,4,46,0.8864892014063285,0.08
9,1773,218,3,47,0.8905072827724761,0.06
10,1774,217,3,47,0.8910095429432446,0.06
11,1766,225,3,47,0.886991461577097,0.06
12,1763,228,3,47,0.8854846810647916,0.06
13,1759,232,3,47,0.8834756403817178,0.06
14,1762,229,3,47,0.8849824208940231,0.06
15,1763,228,4,46,0.8854846810647916,0.08
16,1761,230,4,46,0.8844801607232546,0.08
17,1757,234,4,46,0.8824711200401808,0.08
18,1751,240,4,46,0.8794575590155701,0.08
19,1749,242,4,46,0.8784530386740331,0.08
20,1743,248,4,46,0.8754394776494224,0.08
21,1744,247,4,46,0.8759417378201909,0.08
22,1744,247,4,46,0.8759417378201909,0.08
23,1748,243,4,46,0.8779507785032646,0.08
24,1744,247,4,46,0.8759417378201909,0.08
25,1745,246,3,47,0.8764439979909593,0.06
26,1740,251,3,47,0.8739326971371171,0.06
27,1736,255,3,47,0.8719236564540432,0.06
28,1732,259,3,47,0.8699146157709694,0.06
29,1731,260,3,47,0.8694123556002009,0.06
30,1727,264,3,47,0.8674033149171271,0.06
31,1726,265,2,48,0.8669010547463586,0.04
32,1725,266,2,48,0.8663987945755901,0.04
33,1729,262,2,48,0.8684078352586639,0.04
34,1725,266,2,48,0.8663987945755901,0.04
35,1724,267,2,48,0.8658965344048217,0.04
36,1723,268,2,48,0.8653942742340532,0.04
37,1721,270,2,48,0.8643897538925164,0.04
38,1726,265,2,48,0.8669010547463586,0.04
39,1726,265,2,48,0.8669010547463586,0.04
40,1732,259,2,48,0.8699146157709694,0.04
41,1729,262,2,48,0.8684078352586639,0.04
42,1729,262,2,48,0.8684078352586639,0.04
43,1727,264,2,48,0.8674033149171271,0.04
44,1728,263,2,48,0.8679055750878956,0.04
45,1724,267,2,48,0.8658965344048217,0.04
46,1723,268,2,48,0.8653942742340532,0.04
47,1724,267,2,48,0.8658965344048217,0.04
48,1725,266,2,48,0.8663987945755901,0.04
49,1719,272,1,49,0.8633852335509794,0.02
50,1719,272,1,49,0.8633852335509794,0.02
51,1718,273,1,49,0.8628829733802109,0.02
52,1718,273,1,49,0.8628829733802109,0.02
53,1714,277,1,49,0.8608739326971371,0.02
54,1702,289,1,49,0.8548468106479156,0.02
55,1691,300,1,49,0.8493219487694625,0.02
56,1691,300,1,49,0.8493219487694625,0.02
57,1684,307,1,49,0.8458061275740834,0.02
58,1681,310,1,49,0.844299347061778,0.02
59,1681,310,1,49,0.844299347061778,0.02
60,1682,309,1,49,0.8448016072325465,0.02
61,1683,308,0,50,0.8453038674033149,0.0
62,1683,308,0,50,0.8453038674033149,0.0
63,1685,306,0,50,0.8463083877448518,0.0
64,1686,305,0,50,0.8468106479156203,0.0
65,1685,306,0,50,0.8463083877448518,0.0
66,1683,308,0,50,0.8453038674033149,0.0
67,1679,312,0,50,0.843294826720241,0.0
68,1675,316,0,50,0.8412857860371673,0.0
69,1680,311,0,50,0.8437970868910095,0.0
70,1676,315,0,50,0.8417880462079357,0.0
71,1675,316,0,50,0.8412857860371673,0.0
72,1676,315,0,50,0.8417880462079357,0.0
73,1675,316,0,50,0.8412857860371673,0.0
74,1673,318,0,50,0.8402812656956303,0.0
75,1671,320,0,50,0.8392767453540935,0.0
76,1673,318,0,50,0.8402812656956303,0.0
77,1671,320,0,50,0.8392767453540935,0.0
78,1669,322,0,50,0.8382722250125565,0.0
79,1669,322,0,50,0.8382722250125565,0.0
80,1668,323,0,50,0.837769964841788,0.0
81,1665,326,0,50,0.8362631843294827,0.0
82,1665,326,0,50,0.8362631843294827,0.0
83,1665,326,0,50,0.8362631843294827,0.0
84,1664,327,0,50,0.8357609241587142,0.0
85,1662,329,0,50,0.8347564038171773,0.0
86,1663,328,0,50,0.8352586639879458,0.0
87,1660,331,0,50,0.8337518834756403,0.0
88,1659,332,0,50,0.833249623304872,0.0
89,1657,334,0,50,0.832245102963335,0.0
90,1660,331,0,50,0.8337518834756403,0.0
91,1660,331,0,50,0.8337518834756403,0.0
92,1661,330,0,50,0.8342541436464088,0.0
93,1660,331,0,50,0.8337518834756403,0.0
94,1660,331,0,50,0.8337518834756403,0.0
95,1654,337,0,50,0.8307383224510296,0.0
96,1651,340,0,50,0.8292315419387243,0.0
97,1650,341,0,50,0.8287292817679558,0.0
98,1650,341,0,50,0.8287292817679558,0.0
99,1650,341,0,50,0.8287292817679558,0.0
