Path,Class,Total number of words,Word diversity,FFT mean,FFT median,FFT stddev,FFT min,FFT max,FFT histogram bin 1,FFT histogram bin 2,FFT histogram bin 3,FFT histogram bin 4,FFT histogram bin 5,Word length mean,Words of length 1,Words of length 2,Words of length 3,Words of length 4,Words of length 5,Words of length 6,Words of length 7,Words of length 8,Words of length 9,Words of length 10,Words of length 11,Words of length 12,Words of length 13,Words of length 14,Words of length 15,Words of length 16,Word homogeneity mean,Word homogeneity StdDev,Word homogeneity maximum,Word homoganity hist bin 0,Word homoganity hist bin 1,Word homoganity hist bin 2,Word homoganity hist bin 3,Word homoganity hist bin 4,Word homoganity hist bin 5,Word homoganity hist bin 6,Word homoganity hist bin 7,Punctuation characters ratio,Frequency of Period,Frequency of Comma,Frequency of Dash,Frequency of Single Quote,Frequency of Plus,Frequency of Back Slash,Frequency of Foreward Slash,Frequency of Exclaimation,Frequency of Question Mark,Frequency of Open Parenthesis,Frequency of Equal,Frequency of Star Symbol,Frequency of And Symbol,Frequency of Open Curly Brace,Frequency of Square Bracket,Frequency of Semicolon,Frequency of Colon,Use of upper case,Upper case word mean,Quotations number,Quotation length mean,Quotation length stddev,Quotation part of the text,Emoticon :) / :-),Emoticon ;) / ;-),Emoticon :( / :-(,Sentence length mean,Sentence length stddev,Sentence length character mean,Sentence length hist bin 0,Sentence length hist bin 1,Sentence length hist bin 2,Sentence length hist bin 3,Sentence length hist bin 4,Sentence length hist bin 5,Sentence length hist bin 6,Sentence length hist bin 7,Automated readability index,Coleman�Liau index,Emotion circumplex,Emotion circumplex mean,Emotion circumplex stddev,Emotion circumplex hist bin 0,Emotion circumplex hist bin 1,Emotion circumplex hist bin 2,Emotion circumplex hist bin 3,Emotion circumplex hist bin 4,Emotion circumplex hist bin 5,Emotion circumplex hist bin 6,Emotion circumplex hist bin 7,Word repetition span 3,Word repetition span 7,Word repetition span 11,Word repetition span 17,Use of numbers,Number diversity,Mean of numbers,positive words frequency,positive words mean,positive words stddev,positive words min,positive words max,positive words dif,positive words hist bin 0,positive words hist bin 1,positive words hist bin 2,positive words hist bin 3,positive words hist bin 4,positive words hist bin 5,positive words hist bin 6,positive words hist bin 7,negative words frequency,negative words mean,negative words stddev,negative words min,negative words max,negative words dif,negative words hist bin 0,negative words hist bin 1,negative words hist bin 2,negative words hist bin 3,negative words hist bin 4,negative words hist bin 5,negative words hist bin 6,negative words hist bin 7,hapiness words frequency,hapiness words mean,hapiness words stddev,hapiness words min,hapiness words max,hapiness words dif,hapiness words hist bin 0,hapiness words hist bin 1,hapiness words hist bin 2,hapiness words hist bin 3,hapiness words hist bin 4,hapiness words hist bin 5,hapiness words hist bin 6,hapiness words hist bin 7,happy words frequency,adjectives frequency,adverbs frequency,prepositions frequency,pronouns frequency,verbs frequency,verbs that are nouns frequency,sport frequency,math frequency,science frequency,science fields frequency,US states frequency,shapes frequency,school frequency,lanuages frequency,elections frequency,food frequency,money frequency,driving frequency,military frequency,law frequency,countries frequency,emotions frequency,dance frequency,boats frequency,energy frequency,familiy frequency,musical instruments frequency,music frequency,land forms frequency,art frequency,astronomy frequency,colors frequency,animals frequency,dogs frequency,cats frequency,fish frequency,birds frequency,reptiles frequency,insects frequency,cars frequency,car parts frequency,beach frequency,fall frequency,spring frequency,summer frequency,winter frequency,weather frequency,vacation frequency,medical frequency,body frequency,farm frequency,trees frequency,transportation frequency,time frequency,clothing frequency,shoes frequency,hats frequency,buildings frequency,public buildings frequency,birthday frequency,monsters frequency,office frequency,tools frequency,camping frequency,fair frequency,castles and kings and queens frequency,circus frequency,computer frequency,cooking frequency,kitchen frequency,fruits frequency,geography frequency,furnitures frequency,occupation frequency,leaders frequency,house frequency,restaurants frequency,roads frequency,rocks and minerals frequency,weapons frequency,measurements frequency,containers frequency,acquaintances frequency,yard frequency,flowers frequency,acronyms frequency,self frequency,female frequency,male frequency,Soundex diversity,Soundex homogeneity mean,Soundex homogeneity StdDev,Soundex homogeneity maximum,Soundex homoganity hist bin 0,Soundex homoganity hist bin 1,Soundex homoganity hist bin 2,Soundex homoganity hist bin 3,Soundex homoganity hist bin 4
C:\Dev\fp\legitimate\enron_102370.txt,0,4,1,2.70711,2.82843,2.49575,0,6,0.25,0.25,0.25,0,0.25,3.25,0,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,0,0,0,0,0,0,1,-4.1225,-4.09,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0
C:\Dev\fp\legitimate\enron_117817.txt,0,195,0.605128,92.1469,0,124.142,0,372.21,0.989744,0.005128,0,0,0.005128,4.40513,0.025641,0.123077,0.246154,0.241026,0.148718,0.051282,0.05641,0.051282,0.035897,0,0.005128,0.005128,0.010256,0,0,0,0.095975,0.032471,0.157895,0.294118,0,0,0,0.588235,0,0,0.117647,0.133333,0.051282,0.061538,0.005128,0.005128,0,0,0,0,0,0,0,0,0.005128,0,0,0,0.005128,0.047144,3.2,0,0,0,0,0,0,0,7.8,4.16653,44.12,0.12,0.16,0.16,0.08,0.16,0.12,0.16,0.04,3.21815,6.30728,-1,0,0,0,0,0,0,0,0,0,0,0,0.071795,0.107692,0.153846,0.041026,0.059322,0,0.015385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025641,0.071795,0.05641,0.138462,0.082051,0.051282,0.041026,0.010256,0.005128,0,0,0,0,0.020513,0.015385,0,0.005128,0.041026,0.010256,0.005128,0.005128,0.071795,0,0.005128,0.005128,0.005128,0,0.005128,0.010256,0.005128,0.005128,0.005128,0,0,0,0,0,0,0,0,0,0,0.005128,0,0,0,0.005128,0.005128,0.005128,0.005128,0,0,0,0,0.046154,0,0,0,0.005128,0,0.005128,0,0.020513,0.005128,0,0,0,0,0.005128,0.005128,0.005128,0,0.010256,0.010256,0,0,0,0.015385,0,0,0.010256,0.005128,0,0,0,0.010256,0.035897,0.020513,0,0,0.517949,0.095694,0.037675,0.210526,0.318182,0.590909,0,0.045455,0.045455
C:\Dev\fp\legitimate\enron_119516.txt,0,231,0.619048,130.305,0,161.951,0,448.74,0.995671,0,0,0,0.004329,4.35498,0.116883,0.238095,0.095238,0.177489,0.064935,0.082251,0.060606,0.064935,0.038961,0.034632,0.004329,0.021645,0,0,0,0,0.091533,0.044372,0.26087,0.157895,0.736842,0,0.052632,0,0,0,0.052632,0.593074,0.038961,0.08658,0.168831,0.012987,0,0,0.108225,0.004329,0,0.008658,0.099567,0,0,0,0,0.008658,0.056277,0.201649,3.82,0,0,0,0,0,0,0,9.95652,8.71021,58,0.391304,0.217391,0.130435,0.173913,0.043478,0,0,0.043478,4.06021,6.83435,-1,0,0,0,0,0,0,0,0,0,0,0.034632,0.069264,0.134199,0.307359,0.121212,0.181818,0,0.008658,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012987,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012987,0.038961,0.004329,0.082251,0.051948,0.060606,0.038961,0.021645,0.004329,0,0,0,0,0,0,0,0,0,0.004329,0.008658,0.008658,0.004329,0.021645,0,0.008658,0,0,0.008658,0.008658,0.008658,0.008658,0.008658,0,0.004329,0.004329,0,0,0,0,0,0,0,0.012987,0,0.008658,0.008658,0.008658,0.004329,0.004329,0.008658,0.004329,0,0.004329,0,0.030303,0.004329,0.004329,0,0.012987,0.004329,0.004329,0,0.025974,0.008658,0,0,0,0,0,0.012987,0.012987,0.004329,0,0.008658,0,0,0.004329,0.017316,0.004329,0,0,0.008658,0.004329,0,0.004329,0,0.030303,0.051948,0,0.004329,0.510823,0.088509,0.044221,0.26087,0.25,0.607143,0.071429,0.035714,0.035714
C:\Dev\fp\legitimate\enron_120948.txt,0,71,0.84507,38.1579,1,50.8233,0,184.854,0.971831,0.014085,0,0,0.014085,4.61972,0.056338,0.15493,0.169014,0.169014,0.098592,0.140845,0.098592,0.070423,0.014085,0,0,0.014085,0.014085,0,0,0,0.214286,0.071429,0.285714,0,0,0,0,0,0,0,0,0.112676,0.042254,0.028169,0,0,0,0,0,0,0.014085,0.028169,0,0,0,0,0,0,0,0.02381,0,0,0,0,0,0,0,0,7.77778,5.76922,46.6667,0.444444,0,0,0,0,0.333333,0.111111,0.111111,4.21776,7.55823,-1,0,0,0,0,0,0,0,0,0,0,0.014085,0.014085,0.042254,0.070423,0.028169,0.033333,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056338,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042254,0.070423,0.042254,0.169014,0.070423,0.070423,0.028169,0.014085,0.014085,0,0,0,0,0,0,0,0,0,0,0.014085,0.028169,0.056338,0,0,0,0,0.014085,0,0.014085,0,0.014085,0.014085,0,0,0,0,0,0,0,0,0,0.014085,0,0,0.014085,0,0,0,0,0,0.014085,0,0,0,0.014085,0,0,0,0.028169,0.028169,0,0,0.042254,0,0,0,0,0,0.028169,0,0,0,0,0,0,0,0,0.042254,0,0,0.014085,0.028169,0.014085,0.014085,0,0,0.014085,0.014085,0,0,0.816901,0.214286,0.071429,0.285714,0,0,0,0,0
C:\Dev\fp\legitimate\enron_121321.txt,0,269,0.520446,131.236,0,170.956,0,530.543,0.992565,0.003717,0,0,0.003717,4.6171,0.018587,0.252788,0.148699,0.144981,0.122677,0.05948,0.100372,0.066914,0.033457,0.02974,0.011152,0.007435,0.003717,0,0,0,0.092308,0.03729,0.192308,0.15,0,0.45,0,0.3,0,0.05,0.05,0.141264,0.048327,0.011152,0.033457,0,0,0,0.011152,0,0,0.02974,0,0,0.003717,0,0,0,0.003717,0.032197,3,0,0,0,0,0,0,0,7.68571,4.75558,45.2571,0.228571,0.142857,0.057143,0.114286,0.085714,0.171429,0.142857,0.057143,4.1594,7.49725,-1,0,0,0,0,0,0,0,0,0,0,0.026022,0.100372,0.189591,0.275093,0.02974,0.05,7.75,0.022305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01487,0.055762,0.055762,0.245353,0.055762,0.055762,0.048327,0.01487,0.003717,0,0,0,0,0.003717,0.007435,0,0.022305,0.007435,0.003717,0,0.01487,0.040892,0,0.011152,0.011152,0.003717,0,0,0.007435,0,0.003717,0.01487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007435,0,0,0,0,0,0,0.003717,0.063197,0.003717,0.003717,0,0.007435,0,0.011152,0,0.018587,0,0.007435,0,0,0.011152,0.026022,0.007435,0,0,0.007435,0.003717,0.003717,0.007435,0,0.104089,0,0,0,0.003717,0,0.003717,0,0,0.011152,0.007435,0,0,0.438662,0.094406,0.042966,0.192308,0.181818,0.409091,0.272727,0.045455,0.090909
C:\Dev\fp\legitimate\enron_121914.txt,0,145,0.572414,77.0337,67.4521,94.4385,0,278.691,0.903448,0.048276,0.034483,0.006897,0.006897,4.2,0.062069,0.186207,0.172414,0.275862,0.096552,0.048276,0.048276,0.055172,0,0.027586,0.013793,0.013793,0,0,0,0,0.12987,0.02755,0.142857,0.181818,0,0,0,0,0,0,0.818182,0.137931,0.062069,0.034483,0,0,0,0,0.034483,0,0,0,0,0,0,0,0,0,0.006897,0.030457,2.5,0,0,0,0,0,0,0,7.77778,4.04908,43.7778,0.111111,0.166667,0,0.222222,0.277778,0.111111,0.055556,0.055556,2.24089,5.09029,-1,0,0,0,0,0,0,0,0,0,0,0.006897,0.034483,0.2,0.234483,0.041379,0.060241,20.6667,0.013793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034483,0.117241,0.02069,0.137931,0.124138,0.068966,0.034483,0.048276,0,0,0,0,0,0,0,0.006897,0,0.006897,0,0.006897,0.006897,0.075862,0.006897,0.006897,0,0,0,0,0.006897,0,0,0.006897,0,0,0,0.006897,0,0,0,0,0,0,0,0,0.006897,0,0.006897,0,0,0,0,0,0,0,0.075862,0,0,0,0,0.006897,0.013793,0,0.027586,0,0,0,0,0,0,0,0,0,0.006897,0,0.02069,0.02069,0.006897,0.048276,0,0,0,0,0,0.006897,0.006897,0,0.013793,0.034483,0,0,0.496552,0.130952,0.039484,0.214286,0.25,0,0.666667,0,0.083333
C:\Dev\fp\legitimate\enron_123402.txt,0,377,0.543767,150.749,0,240.079,0,750.284,0.994695,0.002653,0,0,0.002653,4.69231,0.03183,0.196286,0.175066,0.161804,0.119363,0.082228,0.087533,0.039788,0.04244,0.03183,0.018568,0.005305,0.005305,0.002653,0,0,0.070829,0.037834,0.216216,0.137931,0.448276,0.241379,0.103448,0.034483,0,0,0.034483,0.30504,0.039788,0.045093,0.135279,0.002653,0,0,0.026525,0,0,0.015915,0,0,0.002653,0,0,0,0.037135,0.047942,3.14286,0,0,0,0,0,0,0,7.54,4.51757,47.14,0.12,0.12,0.14,0.12,0.1,0.16,0.14,0.1,4.44077,7.86504,-1,0,0,0,0,0,0,0,0,0,0,0.039788,0.106101,0.156499,0.241379,0.061008,0.063415,0,0.015915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023873,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018568,0.06366,0.026525,0.137931,0.079576,0.045093,0.04244,0.007958,0,0.002653,0,0.01061,0,0.002653,0,0.007958,0.005305,0.013263,0.023873,0.013263,0.013263,0.05305,0.002653,0.005305,0.002653,0.01061,0.01061,0.002653,0.01061,0.002653,0.002653,0.015915,0,0.007958,0.002653,0,0.002653,0.002653,0,0,0,0.005305,0.002653,0.005305,0.002653,0,0.002653,0.007958,0.005305,0.007958,0.005305,0,0.002653,0.002653,0.03183,0.002653,0.005305,0,0.013263,0.01061,0.007958,0,0.03183,0.002653,0,0.005305,0.002653,0,0.005305,0.007958,0.005305,0.002653,0.03183,0.007958,0.002653,0.002653,0.013263,0.05305,0.01061,0,0.002653,0.002653,0.002653,0.002653,0.005305,0.002653,0.023873,0.02122,0,0,0.461538,0.070747,0.042991,0.216216,0.676471,0.147059,0.088235,0.029412,0.058824
C:\Dev\fp\legitimate\enron_125606.txt,0,502,0.454183,417.076,521.477,319.896,0,1002.59,0.994024,0.001992,0.001992,0,0.001992,4.50996,0.061753,0.171315,0.209163,0.181275,0.103586,0.061753,0.049801,0.049801,0.055777,0.025896,0.007968,0.015936,0.005976,0,0,0,0.050417,0.01779,0.1,0.083333,0,0.479167,0.291667,0,0,0.125,0.020833,0.14741,0.041833,0.035857,0.017928,0.011952,0,0,0,0.001992,0.01992,0.013944,0,0,0,0,0,0,0.003984,0.03151,3,0,0,0,0,0,0,0,16.0968,9.10284,93.1613,0.064516,0.129032,0.354839,0.193548,0.064516,0.064516,0.032258,0.096774,7.8603,8.87969,-1,0,0,0,0,0,0,0,0,0,0,0.003984,0.051793,0.091633,0.155378,0.049801,0.070175,0,0.011952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015936,0.085657,0.049801,0.139442,0.111554,0.057769,0.053785,0.021912,0.02988,0.003984,0,0,0.001992,0.005976,0,0.005976,0,0.017928,0.017928,0.011952,0.023904,0.031873,0,0.001992,0.001992,0.025896,0.001992,0,0.003984,0,0.003984,0.017928,0,0.001992,0,0,0.001992,0,0,0.001992,0.007968,0.01992,0.003984,0,0.003984,0,0,0.011952,0.007968,0.003984,0.007968,0,0.001992,0.007968,0.013944,0.00996,0.003984,0,0.01992,0.011952,0.007968,0,0.021912,0,0,0.001992,0,0.001992,0.003984,0.001992,0.001992,0.001992,0.001992,0.005976,0.005976,0.007968,0.005976,0.051793,0.001992,0,0.001992,0,0.001992,0.00996,0.003984,0,0.057769,0.043825,0,0,0.370518,0.052157,0.019435,0.1,0.098039,0.411765,0.313725,0.137255,0.039216
C:\Dev\fp\legitimate\enron_129538.txt,0,109,0.688073,62.2898,1,77.5978,0,255.699,0.981651,0.009174,0,0,0.009174,5.11927,0.009174,0.165138,0.165138,0.119266,0.110092,0.073394,0.247706,0.018349,0.027523,0.018349,0.045872,0,0,0,0,0,0.28,0.04,0.3,0,0,0,0,0,0,0,0,1.0367,0.009174,0.155963,0.449541,0,0,0,0.366972,0,0,0,0,0,0,0,0,0,0.055046,0.277487,3.10204,0,0,0,0,0,0,0,6.8125,3.22527,47.75,0.125,0.125,0.0625,0.0625,0.0625,0.3125,0.125,0.125,6.08799,9.95633,-1,0,0,0,0,0,0,0,0,0,0,0,0.146789,0.247706,0.385321,0.091743,0.093333,412.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018349,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018349,0,0,0.055046,0.009174,0.009174,0.009174,0,0,0.009174,0,0.009174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009174,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009174,0,0,0,0,0,0,0.036697,0,0.009174,0,0,0,0,0,0.009174,0,0,0,0,0,0.009174,0,0,0,0,0,0,0,0,0.009174,0,0,0,0,0,0,0,0.009174,0,0,0,0,0.633028,0.314286,0.083299,0.5,0.142857,0.714286,0,0,0.142857
C:\Dev\fp\legitimate\enron_135259.txt,0,319,0.539185,151.179,0,215.981,0,626.574,0.99373,0.003135,0,0,0.003135,4.81505,0.034483,0.188088,0.163009,0.159875,0.103448,0.094044,0.07837,0.07837,0.050157,0.015674,0.018809,0.009404,0.003135,0,0,0.003135,0.068311,0.032034,0.193548,0.235294,0.529412,0,0.176471,0.029412,0,0,0.029412,0.294671,0.065831,0.034483,0.068966,0,0,0,0.059561,0.00627,0.003135,0.00627,0,0,0,0,0,0.003135,0.047022,0.097598,4.625,0,0,0,0,0,0,0,6.32,4.05186,39.96,0.18,0.2,0.28,0.06,0.08,0.06,0.12,0.02,4.40887,7.82893,-1,0,0,0,0,0,0,0,0,0,0,0.031348,0.068966,0.147335,0.188088,0.081505,0.087209,337.654,0.003135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018809,0.059561,0.028213,0.103448,0.090909,0.050157,0.028213,0.003135,0.003135,0,0,0.003135,0,0,0,0,0.00627,0.003135,0.015674,0.003135,0.003135,0.047022,0.003135,0.009404,0,0,0,0,0.009404,0,0,0.003135,0,0,0,0,0,0,0,0,0,0.012539,0.003135,0,0.003135,0,0.003135,0,0.003135,0.009404,0,0,0.003135,0.009404,0.050157,0.003135,0,0,0,0,0.009404,0,0.012539,0.00627,0,0,0,0,0.031348,0.003135,0.003135,0.003135,0.009404,0,0,0,0,0.047022,0,0,0,0,0.003135,0,0,0,0.009404,0.018809,0,0,0.432602,0.077957,0.045857,0.225806,0.638889,0.222222,0.083333,0,0.055556
