gamma,legit nonoutliers detected,legit nonoutliers mislabeled,phishing outliers detected,phishing outliers missed,nonoutlier detection ratio,outlier detection ratio
0.0,0,1991,50,0,0.0,1.0
0.01,887,1104,23,27,0.4455047714716223,0.46
0.02,735,1256,35,15,0.36916122551481667,0.7
0.03,1071,920,9,41,0.5379206428930186,0.18
0.04,826,1165,37,13,0.4148669010547464,0.74
0.05,1367,624,22,28,0.6865896534404822,0.44
0.06,818,1173,23,27,0.4108488196885987,0.46
0.07,536,1455,21,29,0.2692114515318935,0.42
0.08,738,1253,17,33,0.3706680060271221,0.34
0.09,677,1314,19,31,0.3400301356102461,0.38
0.1,694,1297,16,34,0.34856855851330987,0.32
0.11,719,1272,20,30,0.3611250627825213,0.4
0.12,853,1138,17,33,0.4284279256654947,0.34
0.13,878,1113,12,38,0.44098442993470616,0.24
0.14,1108,883,9,41,0.5565042692114516,0.18
0.15,1032,959,10,40,0.5183324962330487,0.2
0.16,1040,951,12,38,0.5223505775991963,0.24
0.17,1233,758,8,42,0.6192867905575088,0.16
0.18,1224,767,4,46,0.6147664490205926,0.08
0.19,1250,741,3,47,0.6278252134605726,0.06
0.2,1589,402,2,48,0.7980914113510799,0.04
0.21,1609,382,5,45,0.808136614766449,0.1
0.22,1604,387,4,46,0.8056253139126067,0.08
0.23,1597,394,3,47,0.8021094927172275,0.06
0.24,1581,410,5,45,0.7940733299849322,0.1
0.25,1587,404,4,46,0.797086891009543,0.08
0.26,1583,408,4,46,0.7950778503264692,0.08
0.27,1508,483,3,47,0.7574083375188347,0.06
0.28,1489,502,1,49,0.747865394274234,0.02
0.29,1509,482,2,48,0.7579105976896032,0.04
0.3,1502,489,2,48,0.754394776494224,0.04
0.31,1469,522,6,44,0.7378201908588649,0.12
0.32,1457,534,6,44,0.7317930688096433,0.12
0.33,1463,528,5,45,0.7348066298342542,0.1
0.34,1456,535,4,46,0.731290808638875,0.08
0.35000000000000003,1461,530,4,46,0.7338021094927172,0.08
0.36,1474,517,6,44,0.7403314917127072,0.12
0.37,1473,518,4,46,0.7398292315419387,0.08
0.38,1485,506,4,46,0.7458563535911602,0.08
0.39,1556,435,3,47,0.7815168257157208,0.06
0.4,1548,443,4,46,0.7774987443495731,0.08
0.41000000000000003,1555,436,4,46,0.7810145655449523,0.08
0.42,1546,445,4,46,0.7764942240080361,0.08
0.43,1549,442,2,48,0.7780010045203415,0.04
0.44,1556,435,4,46,0.7815168257157208,0.08
0.45,1556,435,4,46,0.7815168257157208,0.08
0.46,1553,438,3,47,0.7800100452034153,0.06
0.47000000000000003,1553,438,4,46,0.7800100452034153,0.08
0.48,1535,456,4,46,0.7709693621295831,0.08
0.49,1533,458,3,47,0.7699648417880463,0.06
0.5,1532,459,3,47,0.7694625816172778,0.06
0.51,1543,448,3,47,0.7749874434957308,0.06
0.52,1544,447,2,48,0.7754897036664993,0.04
0.53,1533,458,3,47,0.7699648417880463,0.06
0.54,1533,458,3,47,0.7699648417880463,0.06
0.55,1535,456,3,47,0.7709693621295831,0.06
0.56,1508,483,4,46,0.7574083375188347,0.08
0.5700000000000001,1511,480,3,47,0.7589151180311401,0.06
0.58,1516,475,4,46,0.7614264188849824,0.08
0.59,1525,466,4,46,0.7659467604218986,0.08
0.6,1493,498,3,47,0.7498744349573079,0.06
0.61,1510,481,3,47,0.7584128578603717,0.06
0.62,1497,494,4,46,0.7518834756403817,0.08
0.63,1502,489,4,46,0.754394776494224,0.08
0.64,1605,386,2,48,0.8061275740833752,0.04
0.65,1608,383,3,47,0.8076343545956806,0.06
0.66,1610,381,4,46,0.8086388749372175,0.08
0.67,1608,383,4,46,0.8076343545956806,0.08
0.68,1612,379,4,46,0.8096433952787544,0.08
0.6900000000000001,1612,379,4,46,0.8096433952787544,0.08
0.7000000000000001,1615,376,4,46,0.8111501757910597,0.08
0.71,1613,378,4,46,0.8101456554495229,0.08
0.72,1586,405,3,47,0.7965846308387745,0.06
0.73,1581,410,3,47,0.7940733299849322,0.06
0.74,1531,460,4,46,0.7689603214465093,0.08
0.75,1532,459,4,46,0.7694625816172778,0.08
0.76,1543,448,4,46,0.7749874434957308,0.08
0.77,1554,437,3,47,0.7805123053741838,0.06
0.78,1556,435,3,47,0.7815168257157208,0.06
0.79,1555,436,3,47,0.7810145655449523,0.06
0.8,1556,435,4,46,0.7815168257157208,0.08
0.81,1554,437,3,47,0.7805123053741838,0.06
0.8200000000000001,1558,433,2,48,0.7825213460572576,0.04
0.8300000000000001,1590,401,2,48,0.7985936715218483,0.04
0.84,1591,400,3,47,0.7990959316926167,0.06
0.85,1594,397,4,46,0.8006027122049222,0.08
0.86,1561,430,4,46,0.784028126569563,0.08
0.87,1570,421,3,47,0.7885484681064792,0.06
0.88,1553,438,3,47,0.7800100452034153,0.06
0.89,1558,433,3,47,0.7825213460572576,0.06
0.9,1560,431,3,47,0.7835258663987946,0.06
0.91,1567,424,3,47,0.7870416875941738,0.06
0.92,1570,421,3,47,0.7885484681064792,0.06
0.93,1567,424,2,48,0.7870416875941738,0.04
0.9400000000000001,1568,423,3,47,0.7875439477649422,0.06
0.9500000000000001,1583,408,1,49,0.7950778503264692,0.02
0.96,1588,403,4,46,0.7975891511803114,0.08
0.97,1588,403,2,48,0.7975891511803114,0.04
0.98,1574,417,3,47,0.790557508789553,0.06
0.99,1582,409,1,49,0.7945755901557007,0.02
