gamma,phishing nonoutliers detected,phishing nonoutliers mislabeled,legit outliers detected,legit outliers missed,nonoutlier detection ratio,outlier detection ratio
0.0,0,865,50,0,0.0,1.0
0.01,474,391,18,32,0.5479768786127167,0.36
0.02,500,365,19,31,0.5780346820809249,0.38
0.03,485,380,29,21,0.5606936416184971,0.58
0.04,497,368,8,42,0.5745664739884393,0.16
0.05,371,494,44,6,0.42890173410404625,0.88
0.06,473,392,40,10,0.5468208092485549,0.8
0.07,299,566,34,16,0.34566473988439306,0.68
0.08,246,619,28,22,0.28439306358381505,0.56
0.09,476,389,12,38,0.5502890173410404,0.24
0.1,506,359,14,36,0.584971098265896,0.28
0.11,544,321,10,40,0.6289017341040463,0.2
0.12,594,271,11,39,0.6867052023121387,0.22
0.13,502,363,16,34,0.5803468208092486,0.32
0.14,428,437,24,26,0.49479768786127165,0.48
0.15,441,424,22,28,0.5098265895953757,0.44
0.16,385,480,31,19,0.44508670520231214,0.62
0.17,343,522,31,19,0.3965317919075145,0.62
0.18,319,546,32,18,0.36878612716763004,0.64
0.19,345,520,34,16,0.3988439306358382,0.68
0.2,544,321,21,29,0.6289017341040463,0.42
0.21,597,268,9,41,0.6901734104046243,0.18
0.22,629,236,9,41,0.7271676300578035,0.18
0.23,607,258,15,35,0.7017341040462428,0.3
0.24,599,266,22,28,0.692485549132948,0.44
0.25,576,289,19,31,0.6658959537572254,0.38
0.26,533,332,20,30,0.6161849710982659,0.4
0.27,487,378,21,29,0.5630057803468208,0.42
0.28,452,413,21,29,0.522543352601156,0.42
0.29,405,460,22,28,0.4682080924855491,0.44
0.3,361,504,22,28,0.41734104046242776,0.44
0.31,354,511,21,29,0.4092485549132948,0.42
0.32,453,412,9,41,0.5236994219653179,0.18
0.33,385,480,11,39,0.44508670520231214,0.22
0.34,447,418,9,41,0.5167630057803468,0.18
0.35000000000000003,451,414,11,39,0.5213872832369942,0.22
0.36,543,322,14,36,0.6277456647398844,0.28
0.37,547,318,17,33,0.6323699421965318,0.34
0.38,539,326,25,25,0.623121387283237,0.5
0.39,557,308,26,24,0.6439306358381502,0.52
0.4,545,320,26,24,0.630057803468208,0.52
0.41000000000000003,534,331,26,24,0.6173410404624278,0.52
0.42,529,336,26,24,0.6115606936416185,0.52
0.43,514,351,26,24,0.5942196531791908,0.52
0.44,481,384,27,23,0.5560693641618497,0.54
0.45,434,431,29,21,0.5017341040462427,0.58
0.46,433,432,29,21,0.500578034682081,0.58
0.47000000000000003,419,446,27,23,0.484393063583815,0.54
0.48,410,455,29,21,0.47398843930635837,0.58
0.49,396,469,25,25,0.4578034682080925,0.5
0.5,354,511,23,27,0.4092485549132948,0.46
0.51,280,585,23,27,0.3236994219653179,0.46
0.52,333,532,18,32,0.38497109826589593,0.36
0.53,371,494,15,35,0.42890173410404625,0.3
0.54,372,493,13,37,0.4300578034682081,0.26
0.55,424,441,13,37,0.49017341040462425,0.26
0.56,421,444,17,33,0.4867052023121387,0.34
0.5700000000000001,576,289,3,47,0.6658959537572254,0.06
0.58,566,299,3,47,0.6543352601156069,0.06
0.59,544,321,8,42,0.6289017341040463,0.16
0.6,508,357,8,42,0.5872832369942197,0.16
0.61,549,316,7,43,0.6346820809248555,0.14
0.62,592,273,8,42,0.684393063583815,0.16
0.63,640,225,9,41,0.7398843930635838,0.18
0.64,626,239,22,28,0.7236994219653179,0.44
0.65,635,230,21,29,0.7341040462427746,0.42
0.66,608,257,24,26,0.7028901734104046,0.48
0.67,606,259,25,25,0.7005780346820809,0.5
0.68,583,282,24,26,0.6739884393063584,0.48
0.6900000000000001,564,301,26,24,0.6520231213872832,0.52
0.7000000000000001,540,325,26,24,0.6242774566473989,0.52
0.71,515,350,30,20,0.5953757225433526,0.6
0.72,487,378,30,20,0.5630057803468208,0.6
0.73,486,379,30,20,0.561849710982659,0.6
0.74,456,409,25,25,0.5271676300578034,0.5
0.75,469,396,27,23,0.5421965317919075,0.54
0.76,486,379,24,26,0.561849710982659,0.48
0.77,504,361,22,28,0.5826589595375723,0.44
0.78,535,330,19,31,0.6184971098265896,0.38
0.79,527,338,21,29,0.6092485549132948,0.42
0.8,555,310,21,29,0.6416184971098265,0.42
0.81,589,276,17,33,0.6809248554913295,0.34
0.8200000000000001,588,277,15,35,0.6797687861271676,0.3
0.8300000000000001,574,291,13,37,0.6635838150289017,0.26
0.84,562,303,12,38,0.6497109826589595,0.24
0.85,557,308,14,36,0.6439306358381502,0.28
0.86,548,317,19,31,0.6335260115606937,0.38
0.87,538,327,18,32,0.6219653179190752,0.36
0.88,536,329,19,31,0.6196531791907515,0.38
0.89,521,344,21,29,0.6023121387283237,0.42
0.9,520,345,21,29,0.6011560693641619,0.42
0.91,497,368,24,26,0.5745664739884393,0.48
0.92,503,362,27,23,0.5815028901734104,0.54
0.93,498,367,29,21,0.5757225433526012,0.58
0.9400000000000001,491,374,29,21,0.5676300578034682,0.58
0.9500000000000001,479,386,30,20,0.553757225433526,0.6
0.96,466,399,33,17,0.5387283236994219,0.66
0.97,453,412,34,16,0.5236994219653179,0.68
0.98,441,424,34,16,0.5098265895953757,0.68
0.99,443,422,35,15,0.5121387283236994,0.7
