Path,Class,Total number of words,Word diversity,FFT mean,FFT median,FFT stddev,FFT min,FFT max,FFT histogram bin 1,FFT histogram bin 2,FFT histogram bin 3,FFT histogram bin 4,FFT histogram bin 5,Word length mean,Words of length 1,Words of length 2,Words of length 3,Words of length 4,Words of length 5,Words of length 6,Words of length 7,Words of length 8,Words of length 9,Words of length 10,Words of length 11,Words of length 12,Words of length 13,Words of length 14,Words of length 15,Words of length 16,Word homogeneity mean,Word homogeneity StdDev,Word homogeneity maximum,Word homoganity hist bin 0,Word homoganity hist bin 1,Word homoganity hist bin 2,Word homoganity hist bin 3,Word homoganity hist bin 4,Word homoganity hist bin 5,Word homoganity hist bin 6,Word homoganity hist bin 7,Punctuation characters ratio,Frequency of Period,Frequency of Comma,Frequency of Dash,Frequency of Single Quote,Frequency of Plus,Frequency of Back Slash,Frequency of Foreward Slash,Frequency of Exclaimation,Frequency of Question Mark,Frequency of Open Parenthesis,Frequency of Equal,Frequency of Star Symbol,Frequency of And Symbol,Frequency of Open Curly Brace,Frequency of Square Bracket,Frequency of Semicolon,Frequency of Colon,Use of upper case,Upper case word mean,Quotations number,Quotation length mean,Quotation length stddev,Quotation part of the text,Emoticon :) / :-),Emoticon ;) / ;-),Emoticon :( / :-(,Sentence length mean,Sentence length stddev,Sentence length character mean,Sentence length hist bin 0,Sentence length hist bin 1,Sentence length hist bin 2,Sentence length hist bin 3,Sentence length hist bin 4,Sentence length hist bin 5,Sentence length hist bin 6,Sentence length hist bin 7,Automated readability index,Coleman�Liau index,Emotion circumplex,Emotion circumplex mean,Emotion circumplex stddev,Emotion circumplex hist bin 0,Emotion circumplex hist bin 1,Emotion circumplex hist bin 2,Emotion circumplex hist bin 3,Emotion circumplex hist bin 4,Emotion circumplex hist bin 5,Emotion circumplex hist bin 6,Emotion circumplex hist bin 7,Word repetition span 3,Word repetition span 7,Word repetition span 11,Word repetition span 17,Use of numbers,Number diversity,Mean of numbers,positive words frequency,positive words mean,positive words stddev,positive words min,positive words max,positive words dif,positive words hist bin 0,positive words hist bin 1,positive words hist bin 2,positive words hist bin 3,positive words hist bin 4,positive words hist bin 5,positive words hist bin 6,positive words hist bin 7,negative words frequency,negative words mean,negative words stddev,negative words min,negative words max,negative words dif,negative words hist bin 0,negative words hist bin 1,negative words hist bin 2,negative words hist bin 3,negative words hist bin 4,negative words hist bin 5,negative words hist bin 6,negative words hist bin 7,hapiness words frequency,hapiness words mean,hapiness words stddev,hapiness words min,hapiness words max,hapiness words dif,hapiness words hist bin 0,hapiness words hist bin 1,hapiness words hist bin 2,hapiness words hist bin 3,hapiness words hist bin 4,hapiness words hist bin 5,hapiness words hist bin 6,hapiness words hist bin 7,happy words frequency,adjectives frequency,adverbs frequency,prepositions frequency,pronouns frequency,verbs frequency,verbs that are nouns frequency,sport frequency,math frequency,science frequency,science fields frequency,US states frequency,shapes frequency,school frequency,lanuages frequency,elections frequency,food frequency,money frequency,driving frequency,military frequency,law frequency,countries frequency,emotions frequency,dance frequency,boats frequency,energy frequency,familiy frequency,musical instruments frequency,music frequency,land forms frequency,art frequency,astronomy frequency,colors frequency,animals frequency,dogs frequency,cats frequency,fish frequency,birds frequency,reptiles frequency,insects frequency,cars frequency,car parts frequency,beach frequency,fall frequency,spring frequency,summer frequency,winter frequency,weather frequency,vacation frequency,medical frequency,body frequency,farm frequency,trees frequency,transportation frequency,time frequency,clothing frequency,shoes frequency,hats frequency,buildings frequency,public buildings frequency,birthday frequency,monsters frequency,office frequency,tools frequency,camping frequency,fair frequency,castles and kings and queens frequency,circus frequency,computer frequency,cooking frequency,kitchen frequency,fruits frequency,geography frequency,furnitures frequency,occupation frequency,leaders frequency,house frequency,restaurants frequency,roads frequency,rocks and minerals frequency,weapons frequency,measurements frequency,containers frequency,acquaintances frequency,yard frequency,flowers frequency,acronyms frequency,self frequency,female frequency,male frequency,Soundex diversity,Soundex homogeneity mean,Soundex homogeneity StdDev,Soundex homogeneity maximum,Soundex homoganity hist bin 0,Soundex homoganity hist bin 1,Soundex homoganity hist bin 2,Soundex homoganity hist bin 3,Soundex homoganity hist bin 4
C:\Dev\fp\legitimate\ling_1519.txt,0,304,0.578947,119.652,1,190.901,1,603.154,0.993421,0.003289,0,0,0.003289,5.89803,0.013158,0.0625,0.115132,0.233553,0.075658,0.085526,0.092105,0.134868,0.105263,0.023026,0.032895,0.016447,0.009868,0,0,0,0.083333,0.027979,0.166667,0.045455,0,0.545455,0,0.318182,0,0.045455,0.045455,0.305921,0.115132,0.055921,0.042763,0,0,0,0.029605,0,0,0.026316,0,0,0,0,0,0.003289,0.032895,0,0,0,0,0,0,0,0,0,9.64516,4.71476,73.3226,0.096774,0.032258,0.322581,0.225806,0.064516,0.16129,0.064516,0.032258,11.1723,15.8115,-1,0,0,0,0,0,0,0,0,0,0,0.023026,0.101974,0.184211,0.263158,0.023026,0.028409,0,0.029605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046053,0.026316,0.019737,0.003289,0.029605,0.029605,0.042763,0.013158,0.003289,0.003289,0,0.003289,0.009868,0,0,0.006579,0,0.013158,0,0,0.006579,0,0.003289,0,0.013158,0.026316,0,0,0.003289,0.006579,0.013158,0,0.003289,0,0,0,0.003289,0,0.003289,0,0.006579,0,0.006579,0.003289,0.003289,0,0,0.009868,0.003289,0,0,0,0.003289,0,0,0,0.003289,0.039474,0.049342,0,0,0.013158,0.009868,0,0,0,0,0.115132,0,0.003289,0,0.003289,0.003289,0.006579,0,0.026316,0.003289,0,0,0,0,0,0,0,0,0.019737,0,0,0,0.496711,0.08046,0.030971,0.166667,0.103448,0.517241,0.310345,0,0.068966
C:\Dev\fp\legitimate\ling_960.txt,0,104,0.711538,61.4502,0,75.2394,0,235.286,0.932692,0,0,0,0.067308,5.46154,0.153846,0.009615,0.115385,0.173077,0.144231,0.086538,0.076923,0.028846,0.048077,0.067308,0.038462,0.038462,0.019231,0,0,0,0.15,0.05,0.2,0,0,0,0,0,0,0,0,0.25,0.057692,0.028846,0.009615,0.105769,0,0,0,0.009615,0.019231,0,0,0,0,0,0,0,0.019231,0,0,8,13.25,3.2548,0.073509,0,0,0,10.4,6.31189,72.1,0.2,0.2,0.2,0.1,0.1,0,0.1,0.1,9.49385,13.4677,-1,0,0,0,0,0,0,0,0,0,0,0.009615,0.019231,0.067308,0.067308,0.019231,0.013514,1,0.028846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067308,0.096154,0.019231,0.057692,0.057692,0.057692,0.105769,0.038462,0,0,0,0.009615,0,0,0.009615,0.009615,0.009615,0.019231,0,0.019231,0,0,0,0.048077,0.009615,0,0.057692,0.057692,0.057692,0.048077,0.076923,0,0.009615,0,0,0,0,0,0,0,0,0.048077,0,0,0,0.057692,0.057692,0,0.057692,0.009615,0,0,0,0,0.076923,0,0,0.057692,0.009615,0,0,0.009615,0.048077,0,0,0,0,0.009615,0.057692,0.057692,0,0,0,0,0.009615,0,0.009615,0,0,0,0.048077,0.009615,0.009615,0,0,0.019231,0,0,0,0.663462,0.1375,0.048412,0.2,0.625,0,0,0,0.375
C:\Dev\fp\legitimate\enron_288947.txt,0,256,0.613281,144.012,0,179.54,0,508.17,0.992188,0.003906,0,0,0.003906,5.10547,0.023438,0.230469,0.175781,0.109375,0.058594,0.089844,0.085938,0.074219,0.054688,0.035156,0.027344,0.011719,0.003906,0.003906,0.011719,0.003906,0.078182,0.025519,0.12,0.227273,0,0,0,0.590909,0,0,0.181818,0.296875,0.09375,0.046875,0.066406,0.007813,0,0,0.023438,0.007813,0,0.015625,0,0,0.003906,0,0,0,0.03125,0.066667,3.0625,6,19,3.78594,0.033628,0,0,0,5.08163,4.36048,34.5918,0.428571,0.163265,0.081633,0.040816,0.061224,0.020408,0.122449,0.081633,5.15757,8.39526,-1,0,0,0,0,0,0,0,0,0,0,0.019531,0.054688,0.105469,0.140625,0.082031,0.10828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0.054688,0.015625,0.09375,0.09375,0.050781,0.027344,0.003906,0.003906,0.003906,0,0,0,0,0,0,0,0,0.003906,0.023438,0.007813,0.035156,0,0,0.011719,0.015625,0.007813,0,0,0,0.003906,0,0,0.007813,0.003906,0,0.003906,0,0.003906,0,0,0.003906,0,0,0.007813,0,0,0,0,0.007813,0.003906,0,0,0.003906,0.015625,0,0,0,0.003906,0.003906,0.003906,0,0.039063,0,0,0,0.003906,0,0.015625,0,0,0,0,0,0.007813,0.003906,0,0.027344,0,0,0,0,0,0.003906,0,0,0.023438,0.019531,0,0.003906,0.527344,0.089333,0.035302,0.16,0.166667,0.566667,0,0.133333,0.133333
C:\Dev\fp\legitimate\enron_467559.txt,0,36,0.888889,24.8895,3,34.1019,0,126.514,0.916667,0.055556,0,0,0.027778,4.61111,0,0.083333,0.333333,0.305556,0,0.083333,0.083333,0,0.027778,0.055556,0,0.027778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0.027778,0.055556,0.138889,0,0,0,0,0,0,0.055556,0,0,0,0,0,0,0.055556,0.061611,3,0,0,0,0,0,0,0,5,2.56348,30.1429,0.285714,0.285714,0.285714,0,0,0,0,0.142857,2.78833,5.39333,-1,0,0,0,0,0,0,0,0,0,0,0.027778,0.027778,0.027778,0.027778,0.305556,0.34375,549250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027778,0.027778,0,0.055556,0.055556,0.222222,0.194444,0,0.027778,0,0,0,0,0,0,0,0,0,0.027778,0.027778,0,0.055556,0,0.027778,0,0,0,0,0.027778,0.027778,0,0,0,0.027778,0,0,0,0.027778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027778,0,0,0,0,0,0.027778,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0
C:\Dev\fp\legitimate\enron_60027.txt,0,307,0.602606,164.652,29.4279,205.761,0,612.683,0.996743,0,0,0,0.003257,5.13355,0.039088,0.140065,0.18241,0.130293,0.074919,0.094463,0.13355,0.078176,0.074919,0.019544,0.019544,0.009772,0.003257,0,0,0,0.073611,0.028834,0.133333,0.208333,0,0.458333,0,0,0.25,0,0.083333,0.153094,0.045603,0.074919,0.013029,0.013029,0,0,0,0,0,0,0,0,0.003257,0,0,0,0.003257,0.057172,3,0,0,0,0,0,0,0,7.65,4.53624,48.975,0.225,0.1,0.1,0.075,0.175,0.175,0.075,0.075,6.57402,10.516,-1,0,0,0,0,0,0,0,0,0,0,0.016287,0.061889,0.123779,0.218241,0.013029,0.021622,1648.25,0.006515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026059,0.065147,0.026059,0.143322,0.055375,0.061889,0.029316,0.019544,0.006515,0.003257,0,0.003257,0,0,0,0.019544,0.006515,0.016287,0,0.022801,0.032573,0.061889,0.003257,0,0.013029,0,0.013029,0.013029,0.013029,0.013029,0.013029,0.026059,0.003257,0.013029,0.006515,0,0.003257,0.006515,0.003257,0,0,0.006515,0.013029,0.003257,0,0,0.016287,0.003257,0,0.016287,0,0.006515,0.013029,0.003257,0.013029,0,0,0,0.022801,0.013029,0.022801,0,0.039088,0.013029,0,0.016287,0.003257,0,0.022801,0.019544,0.016287,0.003257,0,0.013029,0.016287,0.029316,0.009772,0.042345,0.006515,0,0,0.013029,0.003257,0.009772,0.003257,0,0.006515,0.022801,0,0,0.537459,0.078667,0.026466,0.133333,0.12,0.48,0,0.32,0.08
C:\Dev\fp\legitimate\enron_279383.txt,0,5,1,3.37638,2.62866,4.12311,0,10,0.4,0.2,0.2,0,0.2,6.6,0,0,0.2,0,0,0.4,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,5,0,40,0,0,0,0,0,0,0,1,12.156,17.088,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C:\Dev\fp\legitimate\ling_7026.txt,0,79,0.911392,41.6973,0,54.8374,0,232.686,0.974684,0.012658,0,0,0.012658,5.27848,0.050633,0.151899,0.088608,0.177215,0.139241,0.063291,0.088608,0.063291,0.075949,0.063291,0.025316,0.012658,0,0,0,0,0.214286,0.071429,0.285714,0,0,0,0,0,0,0,0,0.405063,0.101266,0.164557,0.050633,0,0,0,0,0,0,0.025316,0,0,0,0,0,0.012658,0.050633,0,0,0,0,0,0,0,0,0,11,8.7014,79.7143,0.285714,0,0.285714,0.285714,0,0,0,0.142857,8.93165,12.5466,-1,0,0,0,0,0,0,0,0,0,0,0.012658,0.037975,0.037975,0.050633,0.050633,0.055556,3314.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050633,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050633,0.075949,0.025316,0.126582,0.012658,0.012658,0.012658,0.012658,0,0,0,0.012658,0,0,0.012658,0,0,0,0,0,0.012658,0.063291,0.012658,0.012658,0.012658,0,0,0,0,0,0,0.012658,0,0.012658,0,0,0.012658,0,0,0,0,0,0,0,0,0,0,0.012658,0.012658,0,0,0,0,0,0.025316,0,0,0,0.025316,0.025316,0,0,0,0,0,0,0.012658,0,0.037975,0,0,0,0.012658,0,0.012658,0,0,0.025316,0,0,0,0.025316,0.025316,0,0,0,0,0,0,0,0.860759,0.190476,0.067344,0.285714,0,0,0,0,0
C:\Dev\fp\legitimate\enron_10821.txt,0,215,0.595349,101.106,1,140.095,1,424.693,0.990698,0.004651,0,0,0.004651,4.86977,0.04186,0.134884,0.209302,0.12093,0.15814,0.093023,0.074419,0.046512,0.046512,0.04186,0.023256,0.009302,0,0,0,0,0.092063,0.032375,0.142857,0.266667,0,0,0,0.533333,0,0,0.2,0.125581,0.04186,0.051163,0.004651,0.027907,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033282,3.5,0,0,0,0,0,0,0,14.2667,16.4011,86.1333,0.533333,0.066667,0.133333,0.2,0,0,0,0.066667,8.63994,10.7595,-1,0,0,0,0,0,0,0,0,0,0,0.009302,0.055814,0.093023,0.144186,0.027907,0.039063,15897.7,0.009302,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018605,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009302,0.04186,0.051163,0.144186,0.088372,0.04186,0.046512,0.032558,0.018605,0.013953,0,0.018605,0,0.004651,0,0,0,0.065116,0.009302,0.023256,0.018605,0.069767,0.009302,0,0.018605,0.013953,0,0.018605,0.018605,0.018605,0.023256,0.027907,0,0.013953,0,0,0,0,0,0,0.009302,0.004651,0.023256,0,0,0,0.018605,0.009302,0.009302,0.018605,0,0,0,0.009302,0.009302,0.004651,0,0,0.023256,0.004651,0.004651,0,0.065116,0.023256,0.004651,0.004651,0.004651,0.004651,0.004651,0.023256,0.023256,0,0.004651,0.004651,0,0,0,0.055814,0.009302,0,0,0.018605,0.004651,0.004651,0,0.023256,0.009302,0.004651,0,0,0.530233,0.089636,0.045856,0.238095,0.352941,0.529412,0.058824,0,0.058824
C:\Dev\fp\legitimate\enron_350454.txt,0,58,0.689655,55.4983,61.8471,41.8394,0,218.286,0.948276,0,0,0,0.051724,4.41379,0.034483,0.275862,0.137931,0.12069,0.086207,0.086207,0.155172,0.068966,0.017241,0,0.017241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25862,0.034483,0.051724,0.844828,0,0,0,0.241379,0,0,0,0,0,0,0,0,0,0.086207,0.173127,2.875,0,0,0,0,0,0,0,4.46154,3.27262,29.7692,0.307692,0.230769,0,0.153846,0.153846,0,0,0.153846,1.58973,3.51862,-1,0,0,0,0,0,0,0,0,0,0,0,0.137931,0.258621,0.241379,0.172414,0.15,411.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017241,0.017241,0,0.051724,0.034483,0.017241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051724,0,0,0,0,0,0.017241,0,0,0,0,0,0,0,0.034483,0,0,0,0,0,0,0,0.034483,0.017241,0,0,0,0,0,0,0,0,0,0.017241,0,0,0.62069,0,0,0,0,0,0,0,0
C:\Dev\fp\legitimate\ling_9209.txt,0,206,0.703883,150.559,315.459,140.771,0,411.391,0.815534,0,0,0,0.184466,6.68447,0.019417,0.009709,0.067961,0.131068,0.131068,0.116505,0.126214,0.18932,0.067961,0.063107,0.048544,0.009709,0,0.019417,0,0,0.1,0.04264,0.2,0.272727,0,0.545455,0,0,0.090909,0,0.090909,0.23301,0.063107,0.101942,0.014563,0.019417,0,0,0.004854,0,0,0.019417,0,0,0,0,0,0,0.009709,0,0,0,0,0,0,0,0,0,14.7143,5.84843,119.5,0.142857,0,0.285714,0.071429,0.142857,0.142857,0,0.214286,17.411,21.493,7.8,0,0,0,0,0,0,0,0,0,0,0.014563,0.072816,0.097087,0.169903,0.048544,0.02069,2.3,0.07767,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014563,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004854,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004854,0.126214,0.063107,0.019417,0.072816,0.07767,0.048544,0.048544,0.067961,0.033981,0,0,0.014563,0.072816,0,0.009709,0,0.009709,0.014563,0.029126,0.009709,0,0.004854,0,0.019417,0.014563,0.004854,0.019417,0.024272,0.024272,0.024272,0.058252,0,0.009709,0,0,0,0.004854,0,0,0,0,0.019417,0,0,0,0.019417,0.004854,0,0.033981,0.009709,0.004854,0,0.004854,0.019417,0,0.004854,0,0.029126,0.009709,0.004854,0,0.014563,0.019417,0,0,0,0.009709,0.009709,0.033981,0.019417,0,0.019417,0.009709,0.014563,0,0,0.004854,0.004854,0,0.014563,0.063107,0.004854,0.009709,0,0,0,0,0,0,0.631068,0.110714,0.050634,0.25,0.214286,0.5,0.214286,0,0.071429
