Class,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F125,F126,F127,F128,F129,F130,F131,F132,F133,F134,F135,F136,F137,F138,F139,F140,F141,F142,F143,F144,F145,F146,F147,F148,F149,F150,F151,F152,F153,F154,F155,F156,F157,F158,F159,F160,F161,F162,F163,F164,F165,F166,F167,F168,F169,F170,F171,F172,F173,F174,F175,F176,F177,F178,F179,F180,F181,F182,F183,F184,F185,F186,F187,F188,F189,F190,F191,F192,F193,F194,F195,F196,F197,F198,F199,F200,F201,F202,F203,F204,F205,F206,F207,F208,F209,F210,F211,F212,F213,F214,F215,F216,F217,F218,F219,F220,F221,F222,F223,F224,F225
phishing,2.0,0.0,76.0,0.763158,0.0,264.1026,nan,0.0,0.0,0.565789,0.0,0.0,0.0,0.434211,6.171053,0.0,0.092105,0.131579,0.157895,0.039474,0.105263,0.184211,0.078947,0.065789,0.052632,0.026316,0.052632,0.013158,0.0,0.0,0.0,0.142857,0.0,0.142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184211,0.065789,0.039474,0.0,0.0,0.0,0.0,0.039474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039474,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.666667,5.617433,93.333333,0.333333,0.0,0.0,0.0,0.166667,0.333333,0.0,0.166667,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039474,0.051724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052632,0.0,0.092105,0.092105,0.065789,0.039474,0.0,0.0,0.013158,0.0,0.0,0.0,0.065789,0.0,0.0,0.0,0.013158,0.0,0.0,0.013158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039474,0.0,0.0,0.0,0.0,0.0,0.065789,0.013158,0.0,0.0,0.0,0.0,0.065789,0.0,0.0,0.0,0.0,0.0,0.0,0.013158,0.0,0.013158,0.0,0.0,0.0,0.013158,0.0,0.0
phishing,2.0,0.0,86.0,0.732558,117.815037,80.199539,263.464023,0.07945,2357.0,0.976744,0.011628,0.0,0.0,0.011628,5.918605,0.0,0.127907,0.151163,0.104651,0.05814,0.127907,0.162791,0.081395,0.069767,0.023256,0.034884,0.05814,0.0,0.0,0.0,0.0,0.196429,0.061859,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174419,0.05814,0.046512,0.011628,0.0,0.0,0.0,0.034884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023256,0.037582,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.333333,7.110243,102.0,0.333333,0.0,0.0,0.166667,0.0,0.166667,0.166667,0.166667,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034884,0.047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081395,0.034884,0.139535,0.093023,0.093023,0.046512,0.011628,0.0,0.011628,0.0,0.0,0.0,0.05814,0.0,0.011628,0.0,0.011628,0.0,0.0,0.0,0.0,0.011628,0.0,0.0,0.0,0.011628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034884,0.0,0.0,0.0,0.0,0.0,0.05814,0.011628,0.0,0.0,0.0,0.0,0.05814,0.0,0.0,0.0,0.0,0.0,0.0,0.011628,0.0,0.0,0.0,0.0,0.0,0.011628,0.0,0.0
phishing,2.0,0.0,51.0,0.823529,49.52836,10.000062,134.890105,0.0,910.0,0.960784,0.019608,0.0,0.0,0.019608,5.078431,0.039216,0.098039,0.137255,0.156863,0.333333,0.058824,0.039216,0.039216,0.039216,0.0,0.019608,0.0,0.0,0.0,0.0,0.039216,0.0,0.0,-1e+201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27451,0.058824,0.039216,0.0,0.019608,0.0,0.0,0.039216,0.039216,0.019608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058824,0.061162,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.285714,4.164966,46.714286,0.142857,0.0,0.285714,0.0,0.285714,0.0,0.0,0.285714,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078431,0.019608,0.098039,0.058824,0.117647,0.098039,0.019608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019608,0.0,0.0,0.0,0.0,0.0,0.019608,0.0,0.0,0.0,0.019608,0.0,0.0,0.0,0.019608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019608,0.0,0.0,0.0,0.0,0.0,0.0,0.058824,0.0,0.0,0.0,0.019608,0.019608,0.019608,0.0,0.0,0.0,0.0,0.019608,0.0,0.078431,0.019608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019608,0.0,0.0,0.0,0.0,0.0,0.0,0.019608,0.0,0.0
phishing,2.0,0.0,55.0,0.8,54.835933,20.327542,144.138637,0.0,1015.0,0.963636,0.018182,0.0,0.0,0.018182,4.836364,0.054545,0.072727,0.181818,0.236364,0.2,0.054545,0.090909,0.054545,0.018182,0.0,0.0,0.0,0.0,0.0,0.0,0.036364,0.0,0.0,-1e+201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254545,0.054545,0.036364,0.0,0.018182,0.0,0.0,0.036364,0.036364,0.018182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054545,0.074405,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.857143,3.642157,48.0,0.142857,0.0,0.142857,0.0,0.142857,0.285714,0.0,0.285714,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090909,0.036364,0.072727,0.090909,0.109091,0.054545,0.018182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072727,0.0,0.0,0.0,0.0,0.0,0.0,0.018182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018182,0.0,0.0,0.0,0.0,0.0,0.0,0.018182,0.0,0.072727,0.0,0.0,0.0,0.018182,0.036364,0.0,0.018182,0.018182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018182,0.0,0.0,0.0,0.0,0.0,0.0,0.036364,0.0,0.0,0.0,0.018182,0.0,0.0
phishing,2.0,0.0,94.0,0.702128,0.0,255.673742,nan,0.0,0.0,0.585106,0.0,0.0,0.0,0.414894,5.734043,0.0,0.180851,0.12766,0.138298,0.042553,0.12766,0.138298,0.085106,0.042553,0.021277,0.031915,0.021277,0.010638,0.021277,0.0,0.010638,0.133333,0.044444,0.222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170213,0.053191,0.042553,0.021277,0.0,0.0,0.0,0.021277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031915,0.027231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.666667,6.128259,110.166667,0.166667,0.0,0.0,0.166667,0.0,0.166667,0.0,0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638,0.015152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095745,0.021277,0.148936,0.117021,0.042553,0.010638,0.0,0.0,0.0,0.0,0.0,0.0,0.042553,0.0,0.0,0.0,0.0,0.0,0.010638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638,0.0,0.0,0.0,0.0,0.0,0.021277,0.021277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638,0.0,0.0,0.010638,0.0,0.0,0.042553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638,0.0,0.0,0.010638,0.010638,0.0,0.0
phishing,2.0,0.0,99.0,0.676768,161.414647,130.321252,276.581216,0.675229,2655.0,0.979798,0.010101,0.0,0.0,0.010101,5.666667,0.0,0.161616,0.131313,0.111111,0.060606,0.121212,0.212121,0.070707,0.040404,0.030303,0.010101,0.040404,0.0,0.0,0.0,0.010101,0.174603,0.054986,0.222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141414,0.050505,0.040404,0.0,0.0,0.0,0.0,0.020202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303,0.034833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,8.616844,114.833333,0.166667,0.166667,0.166667,0.333333,0.0,0.0,0.0,0.166667,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010101,0.014925,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090909,0.010101,0.141414,0.111111,0.111111,0.111111,0.010101,0.0,0.0,0.0,0.0,0.0,0.060606,0.0,0.0,0.0,0.0,0.0,0.010101,0.0,0.0,0.010101,0.0,0.0,0.0,0.020202,0.010101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303,0.0,0.0,0.0,0.0,0.0,0.020202,0.020202,0.0,0.0,0.0,0.0,0.060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010101,0.020202,0.0,0.0
phishing,2.0,0.0,55.0,0.836364,60.021779,14.211653,153.472053,0.0,1087.0,0.963636,0.018182,0.0,0.0,0.018182,6.036364,0.0,0.127273,0.072727,0.218182,0.054545,0.163636,0.145455,0.054545,0.018182,0.018182,0.054545,0.018182,0.0,0.018182,0.018182,0.018182,0.0,0.0,-1e+201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218182,0.072727,0.054545,0.0,0.0,0.0,0.0,0.036364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054545,0.036145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.924645,83.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.4,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018182,0.021739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072727,0.018182,0.109091,0.181818,0.072727,0.036364,0.0,0.0,0.018182,0.0,0.0,0.0,0.036364,0.0,0.018182,0.0,0.0,0.0,0.018182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018182,0.018182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018182,0.0,0.0,0.0,0.0,0.0,0.036364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018182,0.018182,0.0,0.0
phishing,2.0,0.0,99.0,0.676768,113.207463,45.421352,283.125091,0.199186,2655.0,0.979798,0.010101,0.0,0.0,0.010101,5.757576,0.0,0.161616,0.131313,0.10101,0.060606,0.131313,0.20202,0.070707,0.040404,0.020202,0.020202,0.040404,0.010101,0.0,0.0,0.010101,0.174603,0.054986,0.222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141414,0.050505,0.040404,0.0,0.0,0.0,0.0,0.020202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303,0.034682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,8.616844,115.333333,0.166667,0.166667,0.166667,0.333333,0.0,0.0,0.0,0.166667,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020202,0.029851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.080808,0.010101,0.141414,0.111111,0.10101,0.10101,0.010101,0.0,0.0,0.0,0.0,0.0,0.060606,0.0,0.0,0.010101,0.0,0.0,0.010101,0.0,0.0,0.010101,0.0,0.0,0.0,0.020202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303,0.0,0.0,0.0,0.0,0.0,0.020202,0.020202,0.0,0.0,0.0,0.0,0.060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010101,0.020202,0.0,0.0
phishing,2.0,0.0,128.0,0.625,0.0,179.112916,nan,0.0,0.0,0.796875,0.0,0.0,0.0,0.203125,6.140625,0.03125,0.085938,0.15625,0.101562,0.0625,0.078125,0.085938,0.210938,0.0625,0.0625,0.0,0.03125,0.023438,0.0,0.0,0.007812,0.118056,0.041084,0.166667,0.583333,0.0,0.0,0.0,0.0,0.0,0.0,0.416667,0.148438,0.046875,0.0625,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023438,0.026344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.285714,7.045045,135.571429,0.142857,0.142857,0.0,0.0,0.142857,0.142857,0.285714,0.142857,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148438,0.007812,0.101562,0.101562,0.046875,0.007812,0.0,0.0,0.0,0.0,0.0,0.0,0.023438,0.0,0.0,0.0,0.0,0.0,0.0,0.007812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007812,0.0,0.0,0.023438,0.0,0.007812,0.0,0.0,0.007812,0.023438,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.007812,0.0,0.0,0.0,0.0,0.0,0.007812,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.007812,0.0,0.0,0.0,0.0,0.0,0.007812,0.0,0.007812,0.015625,0.023438,0.0,0.0
phishing,2.0,0.0,101.0,0.70297,0.0,156.558959,nan,0.0,0.0,0.90099,0.0,0.0,0.0,0.09901,5.811881,0.019802,0.09901,0.178218,0.138614,0.059406,0.069307,0.178218,0.049505,0.039604,0.118812,0.029703,0.009901,0.0,0.0,0.0,0.009901,0.114286,0.034993,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128713,0.049505,0.029703,0.0,0.0,0.0,0.0,0.019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029703,0.03719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.833333,5.955856,121.0,0.166667,0.0,0.0,0.166667,0.0,0.333333,0.0,0.333333,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009901,0.014085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079208,0.009901,0.128713,0.108911,0.089109,0.029703,0.0,0.0,0.0,0.0,0.0,0.0,0.019802,0.0,0.0,0.0,0.0,0.009901,0.0,0.009901,0.0,0.0,0.0,0.0,0.0,0.009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009901,0.0,0.0,0.009901,0.0,0.0,0.0,0.009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049505,0.009901,0.0,0.0,0.0,0.0,0.019802,0.019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009901,0.0,0.0,0.0,0.029703,0.0,0.0
